device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,burst_burn_in_slots,policy,mean_energy_j,total_energy_j,violation_rate,violation_count,max_violation_run,burst_count_ge2,violation_run_count,violation_state_bad_share,violation_state_good_count,violation_state_bad_count,boost_use_rate,boost_use_rate_good,boost_use_rate_bad,policy_metadata_json
device_0,0.0,1705,1.2,42.0,0.1,drop,48,16,3,0.20104,-0.004155617772998724,3178,6822,1000,P2prime,0.05867229817159807,5867.229817159807,0.1,10000,3,96,9812,1.0,0,10000,0.06414,0,0.3190409868682849,"{""budget"": 6822, ""method"": ""lagrangian_path_dp""}"
device_0,0.0,1706,1.2,42.0,0.1,drop,48,16,3,0.20062,-0.0045443747273977144,3146,6854,1000,P1,0.07563368785189148,7563.368785189147,0.03146,3146,3,99,3018,1.0,0,3146,0.13192,0,0.6575615591665835,{}
device_0,0.0,1706,1.2,42.0,0.1,drop,48,16,3,0.20062,-0.0045443747273977144,3146,6854,1000,P0,0.07018850126576011,7018.8501265760115,0.1,10000,5,909,8892,0.4386,5614,4386,0.12237,0,0.6099591267072076,"{""budget"": 6854}"
device_0,0.0,1706,1.2,42.0,0.1,drop,48,16,3,0.20062,-0.0045443747273977144,3146,6854,1000,P2,0.05850802995063982,5850.802995063982,0.1,10000,4,867,8943,1.0,0,10000,0.06338,0,0.31592064599740804,"{""budget"": 6854}"
device_0,0.0,1706,1.2,42.0,0.1,drop,48,16,3,0.20062,-0.0045443747273977144,3146,6854,1000,P2prime,0.058524572542878996,5852.4572542879,0.1,10000,3,99,9798,1.0,0,10000,0.06338,0,0.31592064599740804,"{""budget"": 6854, ""method"": ""lagrangian_path_dp""}"
device_0,0.0,1707,1.2,42.0,0.1,drop,48,16,3,0.19896,0.001346027845602329,3139,6861,1000,P1,0.07559682326375357,7559.682326375357,0.03139,3139,3,102,2999,1.0,0,3139,0.13127,0,0.6597808604744673,{}
device_0,0.0,1707,1.2,42.0,0.1,drop,48,16,3,0.19896,0.001346027845602329,3139,6861,1000,P0,0.07031546657853718,7031.546657853718,0.1,10000,4,912,8904,0.4307,5693,4307,0.12218,0,0.6140932850824287,"{""budget"": 6861}"
device_0,0.0,1707,1.2,42.0,0.1,drop,48,16,3,0.19896,0.001346027845602329,3139,6861,1000,P2,0.058458776616951494,5845.877661695149,0.1,10000,5,859,8938,1.0,0,10000,0.06266,0,0.31493767591475674,"{""budget"": 6861}"
device_0,0.0,1707,1.2,42.0,0.1,drop,48,16,3,0.19896,0.001346027845602329,3139,6861,1000,P2prime,0.05847618795406251,5847.618795406251,0.1,10000,3,102,9792,1.0,0,10000,0.06266,0,0.31493767591475674,"{""budget"": 6861, ""method"": ""lagrangian_path_dp""}"
device_0,0.0,1708,1.2,42.0,0.1,drop,48,16,3,0.19922,-0.001372807149175493,3189,6811,1000,P1,0.07558904108511273,7558.904108511273,0.03189,3189,3,91,3066,1.0,0,3189,0.13161,0,0.6606264431282,{}
