device,epsilon,skip_mode,deadline_ratios_json,oracle_gap_percent_json,adjacent_abs_differences_percent_json,max_adjacent_abs_difference_percent,tolerance_percent,assessable,deadline_axis_active,warning
device_0,0.01,drop,"[1.35, 1.5, 2.0, 2.5, 3.0, 4.0]","[2.039917424565678, 4.235671198051799, 3.314547831575822, 3.6257607691321545, 3.833013710078296, 3.5140560825703453]","[2.1957537734861208, 0.9211233664759768, 0.3112129375563324, 0.20725294094614144, 0.31895762750795065]",2.1957537734861208,0.01,True,True,
device_0,0.01,late,"[1.35, 1.5, 2.0, 2.5, 3.0, 4.0]","[1.143052329958606, 1.837764109099669, 1.1620179908481647, 1.0638305742678063, 0.8872955649049027, 0.04224188704519708]","[0.6947117791410631, 0.6757461182515043, 0.09818741658035846, 0.17653500936290356, 0.8450536778597056]",0.8450536778597056,0.01,True,True,
device_0,0.05,drop,"[1.35, 1.5, 2.0, 2.5, 3.0, 4.0]","[17.944392052803178, 15.720186807708977, 16.063477642780054, 17.004988433891224, 16.470886253963332, 14.407379744506152]","[2.2242052450942005, 0.3432908350710768, 0.9415107911111704, 0.534102179927892, 2.0635065094571807]",2.2242052450942005,0.01,True,True,
device_0,0.05,late,"[1.35, 1.5, 2.0, 2.5, 3.0, 4.0]","[9.637294581535736, 7.607126991170947, 5.579878720929478, 4.97675548774544, 2.452065570736967, 0.04224188704519708]","[2.0301675903647887, 2.0272482702414694, 0.6031232331840375, 2.524689917008473, 2.40982368369177]",2.524689917008473,0.01,True,True,
device_0,0.1,drop,"[1.2, 1.35, 1.5, 2.0, 2.5, 3.0, 4.0]","[22.596471534004767, 31.600084814199665, 29.591045852081773, 30.483265563663153, 31.393229287667662, 27.47131808714187, 25.679568135262343]","[9.003613280194898, 2.0090389621178915, 0.8922197115813795, 0.9099637240045091, 3.9219112005257912, 1.7917499518795275]",9.003613280194898,0.01,True,True,
device_0,0.1,late,"[1.2, 1.35, 1.5, 2.0, 2.5, 3.0, 4.0]","[14.067440325592464, 17.040112697520062, 13.902448272170988, 10.685311060001345, 7.726827882282419, 2.452065570736967, 0.04224188704519708]","[2.9726723719275974, 3.137664425349074, 3.217137212169643, 2.958483177718926, 5.274762311545452, 2.40982368369177]",5.274762311545452,0.01,True,True,
device_0,0.15,drop,"[1.2, 1.35, 1.5, 2.0, 2.5, 3.0, 4.0]","[38.89042597987426, 43.89611709763164, 43.20709607806315, 43.951182349354156, 40.23699636595805, 36.820659531617856, 35.25988481895511]","[5.0056911177573795, 0.6890210195684858, 0.7440862712910032, 3.7141859833961064, 3.4163368343401928, 1.5607747126627487]",5.0056911177573795,0.01,True,True,
device_0,0.15,late,"[1.2, 1.35, 1.5, 2.0, 2.5, 3.0, 4.0]","[23.478626744792518, 23.0469355425645, 19.590467072371155, 15.126682572201036, 7.726827882282419, 2.452065570736967, 0.04224188704519708]","[0.4316912022280164, 3.4564684701933466, 4.463784500170119, 7.399854689918617, 5.274762311545452, 2.40982368369177]",7.399854689918617,0.01,True,True,
