device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,burst_burn_in_slots,check,passed,detail,severity
device_0,0.0,1703.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19952,0.005656351965683195,3200.0,6800.0,1000.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1703.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19952,0.005656351965683195,3200.0,6800.0,1000.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1703.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19952,0.005656351965683195,3200.0,6800.0,1000.0,violation_P3_total_within_floor_budget,True,10000 <= floor(epsilon*T)=10000,required
device_0,0.0,1703.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19952,0.005656351965683195,3200.0,6800.0,1000.0,P1_equals_forced,True,0.032 == 0.032,required
device_0,0.0,1704.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20257,0.002457782015709934,3103.0,6897.0,1000.0,energy_P2_le_P2prime,True,0.0590382648 <= 0.0590557392,required
device_0,0.0,1704.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20257,0.002457782015709934,3103.0,6897.0,1000.0,energy_P2prime_le_P3,True,0.0590557392 <= 0.0591346652,diagnostic
device_0,0.0,1704.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20257,0.002457782015709934,3103.0,6897.0,1000.0,energy_P2_le_P0,True,0.0590382648 <= 0.0709306054,required
device_0,0.0,1704.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20257,0.002457782015709934,3103.0,6897.0,1000.0,energy_P0_le_P1,True,0.0709306054 <= 0.0762703995,required
device_0,0.0,1704.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20257,0.002457782015709934,3103.0,6897.0,1000.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1704.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20257,0.002457782015709934,3103.0,6897.0,1000.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1704.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20257,0.002457782015709934,3103.0,6897.0,1000.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1704.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20257,0.002457782015709934,3103.0,6897.0,1000.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1704.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20257,0.002457782015709934,3103.0,6897.0,1000.0,violation_P3_total_within_floor_budget,True,10000 <= floor(epsilon*T)=10000,required
device_0,0.0,1704.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20257,0.002457782015709934,3103.0,6897.0,1000.0,P1_equals_forced,True,0.03103 == 0.03103,required
device_0,0.0,1705.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20104,-0.004155617772998724,3178.0,6822.0,1000.0,energy_P2_le_P2prime,True,0.0586545499 <= 0.0586722982,required
device_0,0.0,1705.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20104,-0.004155617772998724,3178.0,6822.0,1000.0,energy_P2prime_le_P3,True,0.0586722982 <= 0.058763084,diagnostic
device_0,0.0,1705.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20104,-0.004155617772998724,3178.0,6822.0,1000.0,energy_P2_le_P0,True,0.0586545499 <= 0.0703652255,required
device_0,0.0,1705.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20104,-0.004155617772998724,3178.0,6822.0,1000.0,energy_P0_le_P1,True,0.0703652255 <= 0.0756992782,required
device_0,0.0,1705.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20104,-0.004155617772998724,3178.0,6822.0,1000.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1705.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20104,-0.004155617772998724,3178.0,6822.0,1000.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1705.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20104,-0.004155617772998724,3178.0,6822.0,1000.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1705.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20104,-0.004155617772998724,3178.0,6822.0,1000.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1705.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20104,-0.004155617772998724,3178.0,6822.0,1000.0,violation_P3_total_within_floor_budget,True,10000 <= floor(epsilon*T)=10000,required
device_0,0.0,1705.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20104,-0.004155617772998724,3178.0,6822.0,1000.0,P1_equals_forced,True,0.03178 == 0.03178,required
device_0,0.0,1706.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20062,-0.0045443747273977144,3146.0,6854.0,1000.0,energy_P2_le_P2prime,True,0.05850803 <= 0.0585245725,required
device_0,0.0,1706.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20062,-0.0045443747273977144,3146.0,6854.0,1000.0,energy_P2prime_le_P3,True,0.0585245725 <= 0.0586097134,diagnostic
device_0,0.0,1706.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20062,-0.0045443747273977144,3146.0,6854.0,1000.0,energy_P2_le_P0,True,0.05850803 <= 0.0701885013,required
device_0,0.0,1706.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20062,-0.0045443747273977144,3146.0,6854.0,1000.0,energy_P0_le_P1,True,0.0701885013 <= 0.0756336879,required
device_0,0.0,1706.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20062,-0.0045443747273977144,3146.0,6854.0,1000.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1706.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20062,-0.0045443747273977144,3146.0,6854.0,1000.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1706.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20062,-0.0045443747273977144,3146.0,6854.0,1000.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1706.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20062,-0.0045443747273977144,3146.0,6854.0,1000.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1706.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20062,-0.0045443747273977144,3146.0,6854.0,1000.0,violation_P3_total_within_floor_budget,True,10000 <= floor(epsilon*T)=10000,required
device_0,0.0,1706.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20062,-0.0045443747273977144,3146.0,6854.0,1000.0,P1_equals_forced,True,0.03146 == 0.03146,required
device_0,0.0,1707.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19896,0.001346027845602329,3139.0,6861.0,1000.0,energy_P2_le_P2prime,True,0.0584587766 <= 0.058476188,required
device_0,0.0,1707.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19896,0.001346027845602329,3139.0,6861.0,1000.0,energy_P2prime_le_P3,True,0.058476188 <= 0.0585576883,diagnostic
