device,rho,seed,deadline_ratio,deadline_ms,skip_mode,saving_p10_j,saving_p50_j,saving_p90_j,saving_unique_count,saving_feasible_unique_count,saving_degenerate,warning
device_0,0.0,1706,1.1,39.6495,drop,0.02288386877733715,0.14735263661278114,0.3822593059921587,92272,92271,False,
device_0,0.0,1706,1.1,39.6495,late,0.0,0.09936696830941466,0.274885531584303,54030,54030,False,
device_0,0.0,1706,1.2,43.254,drop,0.025505766027465765,0.03793229252933217,0.3856015518588874,96200,96199,False,
device_0,0.0,1706,1.2,43.254,late,0.0,0.0,0.26511359855707434,43597,43597,False,
device_0,0.0,1706,1.35,48.66075000000001,drop,0.02670164700135018,0.03869768033638331,0.3874293768412591,98684,98683,False,
device_0,0.0,1706,1.35,48.66075000000001,late,0.0,0.0,0.23442697065540571,30735,30735,False,
device_0,0.0,1706,1.5,54.0675,drop,0.02697682595415918,0.03890402981003399,0.16389921588734804,99335,99334,False,
device_0,0.0,1706,1.5,54.0675,late,0.0,0.0,0.06712391989180898,23361,23361,False,
device_0,0.0,1706,2.0,72.09,drop,0.027056155869616072,0.03897075525046028,0.16404656349522698,99470,99470,False,
device_0,0.0,1706,2.0,72.09,late,0.0,0.0,0.04236472022822489,18158,18158,False,
device_0,0.0,1707,1.1,39.6495,drop,0.022924865448387118,0.14735831559717125,0.3822288896644274,92345,92344,False,
device_0,0.0,1707,1.1,39.6495,late,0.0,0.09926487850024052,0.27521786387280295,53997,53997,False,
device_0,0.0,1707,1.2,43.254,drop,0.025515491678203252,0.03792044560852865,0.3854197387240099,96181,96180,False,
device_0,0.0,1707,1.2,43.254,late,0.0,0.0,0.2651444427978813,43586,43586,False,
device_0,0.0,1707,1.35,48.66075000000001,drop,0.026657820507936695,0.038715601886396,0.3873049463907748,98691,98690,False,
device_0,0.0,1707,1.35,48.66075000000001,late,0.0,0.0,0.23308082962882617,30830,30830,False,
device_0,0.0,1707,1.5,54.0675,drop,0.026926759539969352,0.038928940579144394,0.16377011001184383,99340,99339,False,
device_0,0.0,1707,1.5,54.0675,late,0.0,0.0,0.06718669212566487,23334,23334,False,
device_0,0.0,1707,2.0,72.09,drop,0.02699558508529116,0.038976371752919424,0.1638991299561613,99447,99447,False,
device_0,0.0,1707,2.0,72.09,late,0.0,0.0,0.04238167688479677,17995,17995,False,
device_0,0.0,1708,1.1,39.6495,drop,0.02277271558685401,0.14735783730352192,0.3822466416658908,92255,92254,False,
device_0,0.0,1708,1.1,39.6495,late,0.0,0.09921429913598519,0.27482468794946435,54013,54013,False,
device_0,0.0,1708,1.2,43.254,drop,0.025419060366352487,0.037956315953185084,0.38552464021865723,96110,96109,False,
device_0,0.0,1708,1.2,43.254,late,0.0,0.0,0.2647038693377698,43617,43617,False,
device_0,0.0,1708,1.35,48.66075000000001,drop,0.02659559183562652,0.038750583514482864,0.3874176960555011,98662,98661,False,
device_0,0.0,1708,1.35,48.66075000000001,late,0.0,0.0,0.23425177697944768,30862,30862,False,
device_0,0.0,1708,1.5,54.0675,drop,0.026881342157036893,0.038959600952474124,0.16392521345159983,99340,99339,False,
device_0,0.0,1708,1.5,54.0675,late,0.0,0.0,0.06719494104914413,23312,23312,False,
device_0,0.0,1708,2.0,72.09,drop,0.026939351341092547,0.03901375075441689,0.16403157038820337,99448,99448,False,
device_0,0.0,1708,2.0,72.09,late,0.0,0.0,0.04188899724940802,18035,18035,False,
device_0,0.0,1709,1.1,39.6495,drop,0.02281408869152191,0.14736133384627717,0.3822315556450053,92252,92251,False,
device_0,0.0,1709,1.1,39.6495,late,0.0,0.09944190760181451,0.2757532118463805,54080,54080,False,
device_0,0.0,1709,1.2,43.254,drop,0.025460164393367745,0.037960821131920244,0.3854269055642113,96100,96099,False,
device_0,0.0,1709,1.2,43.254,late,0.0,0.0,0.2650454339963554,43638,43638,False,
device_0,0.0,1709,1.35,48.66075000000001,drop,0.026654399655672362,0.038752784917633246,0.38727272429541876,98614,98613,False,
device_0,0.0,1709,1.35,48.66075000000001,late,0.0,0.0,0.23261150749915083,30768,30768,False,
device_0,0.0,1709,1.5,54.0675,drop,0.026940447973264087,0.038976363538443,0.16378724563406266,99318,99317,False,
device_0,0.0,1709,1.5,54.0675,late,0.0,0.0,0.06718931900404752,23384,23384,False,
device_0,0.0,1709,2.0,72.09,drop,0.027013205193593123,0.039032873214691975,0.16391021002699643,99422,99422,False,
device_0,0.0,1709,2.0,72.09,late,0.0,0.0,0.04240972148290549,18057,18057,False,
device_0,0.0,1710,1.1,39.6495,drop,0.02295138594053639,0.14734506207551046,0.38216381370880687,92326,92325,False,
device_0,0.0,1710,1.1,39.6495,late,0.0,0.09901531919230348,0.2749473810888004,53716,53716,False,
device_0,0.0,1710,1.2,43.254,drop,0.025534171636053444,0.03790482545790351,0.38550443954252106,96244,96243,False,
device_0,0.0,1710,1.2,43.254,late,0.0,0.0,0.2648315502863854,43428,43428,False,
device_0,0.0,1710,1.35,48.66075000000001,drop,0.026684311421126358,0.03866401303080666,0.38729213826612896,98710,98709,False,
device_0,0.0,1710,1.35,48.66075000000001,late,0.0,0.0,0.23331952894153635,30673,30673,False,
device_0,0.0,1710,1.5,54.0675,drop,0.026944278718719787,0.03885817714543699,0.16375779730486675,99342,99341,False,
device_0,0.0,1710,1.5,54.0675,late,0.0,0.0,0.06717968286383737,23238,23238,False,
device_0,0.0,1710,2.0,72.09,drop,0.027017295204701735,0.038905521420368835,0.16389457668388194,99453,99453,False,
device_0,0.0,1710,2.0,72.09,late,0.0,0.0,0.04218785677001343,17999,17999,False,
device_0,0.375,1701,1.1,39.6495,drop,0.022979404780606703,0.1473604039523308,0.3822093563556903,92484,92483,False,
device_0,0.375,1701,1.1,39.6495,late,0.0,0.09931937004239917,0.2750721247258847,54113,54113,False,
device_0,0.375,1701,1.2,43.254,drop,0.025493793418679397,0.03793051536489471,0.38547105262281317,96244,96243,False,
device_0,0.375,1701,1.2,43.254,late,0.0,0.0,0.2648047285922245,43451,43451,False,
device_0,0.375,1701,1.35,48.66075000000001,drop,0.02665721948122421,0.03869271807874723,0.387268584252667,98708,98707,False,
device_0,0.375,1701,1.35,48.66075000000001,late,0.0,0.0,0.2328784080792999,30836,30836,False,
device_0,0.375,1701,1.5,54.0675,drop,0.026931954484036878,0.03888921683602415,0.16374234014388359,99344,99343,False,
device_0,0.375,1701,1.5,54.0675,late,0.0,0.0,0.06704234351384715,23285,23285,False,
device_0,0.375,1701,2.0,72.09,drop,0.027006668135403925,0.03894303698521074,0.16386778490428985,99469,99469,False,
device_0,0.375,1701,2.0,72.09,late,0.0,0.0,0.04214481300874578,17966,17966,False,
device_0,0.375,1702,1.1,39.6495,drop,0.022799463711511307,0.147366693606311,0.3823635329742651,92315,92314,False,
device_0,0.375,1702,1.1,39.6495,late,0.0,0.0993344010298296,0.2751222463807941,54175,54175,False,
device_0,0.375,1702,1.2,43.254,drop,0.025421939818397722,0.03796700919241324,0.3855363938547661,96166,96165,False,
device_0,0.375,1702,1.2,43.254,late,0.0,0.0,0.2656372482667692,43790,43790,False,
device_0,0.375,1702,1.35,48.66075000000001,drop,0.026622985439307068,0.03875510847145366,0.3872943661327525,98691,98690,False,
device_0,0.375,1702,1.35,48.66075000000001,late,0.0,0.0,0.23300876040271024,30972,30972,False,
device_0,0.375,1702,1.5,54.0675,drop,0.02693309108500133,0.038972484514030445,0.16377688773507496,99379,99378,False,
device_0,0.375,1702,1.5,54.0675,late,0.0,0.0,0.06723706097132176,23412,23412,False,
device_0,0.375,1702,2.0,72.09,drop,0.02700507300796462,0.039025649410546766,0.16390253855712994,99491,99491,False,
device_0,0.375,1702,2.0,72.09,late,0.0,0.0,0.04296522429735405,18186,18186,False,
device_0,0.375,1703,1.1,39.6495,drop,0.022793299467152275,0.14735712758301722,0.3822278768826375,92172,92171,False,
device_0,0.375,1703,1.1,39.6495,late,0.0,0.09923976574199714,0.2746753017753794,53957,53957,False,
device_0,0.375,1703,1.2,43.254,drop,0.025486461563671296,0.03796864264937783,0.3856121108217637,96129,96128,False,
device_0,0.375,1703,1.2,43.254,late,0.0,0.0,0.26485733051292315,43669,43669,False,
device_0,0.375,1703,1.35,48.66075000000001,drop,0.02669190887233195,0.03875542896665299,0.3874240534686668,98687,98686,False,
device_0,0.375,1703,1.35,48.66075000000001,late,0.0,0.0,0.23490036186109162,30888,30888,False,
device_0,0.375,1703,1.5,54.0675,drop,0.02696726107667035,0.03895088114766124,0.16387346741666065,99315,99314,False,
device_0,0.375,1703,1.5,54.0675,late,0.0,0.0,0.06715123515734363,23352,23352,False,
device_0,0.375,1703,2.0,72.09,drop,0.027041660243671554,0.03901735266478457,0.1640282904846903,99447,99447,False,
device_0,0.375,1703,2.0,72.09,late,0.0,0.0,0.04212790331146109,18087,18087,False,
device_0,0.375,1704,1.1,39.6495,drop,0.022862082649502652,0.14735882280585746,0.38225629070475825,92272,92271,False,
device_0,0.375,1704,1.1,39.6495,late,0.0,0.0991733902990475,0.2749139025810797,53962,53962,False,
device_0,0.375,1704,1.2,43.254,drop,0.025484691787270013,0.037941249814126055,0.3854941614960546,96129,96128,False,
device_0,0.375,1704,1.2,43.254,late,0.0,0.0,0.2651214508793523,43593,43593,False,
device_0,0.375,1704,1.35,48.66075000000001,drop,0.026654504022977935,0.03870670952212549,0.3873920277105822,98696,98695,False,
device_0,0.375,1704,1.35,48.66075000000001,late,0.0,0.0,0.23378025172036726,30924,30924,False,
device_0,0.375,1704,1.5,54.0675,drop,0.026935480478250968,0.038911514536785013,0.16385752783642635,99335,99334,False,
device_0,0.375,1704,1.5,54.0675,late,0.0,0.0,0.06714270012283047,23341,23341,False,
device_0,0.375,1704,2.0,72.09,drop,0.026999278691702756,0.03896290520551589,0.16398251552853302,99445,99445,False,
device_0,0.375,1704,2.0,72.09,late,0.0,0.0,0.042211125957888694,18076,18076,False,
device_0,0.375,1705,1.1,39.6495,drop,0.02284818525401197,0.14733891601590146,0.3819683400767891,92205,92204,False,
device_0,0.375,1705,1.1,39.6495,late,0.0,0.09913051163860843,0.27452288604963354,53766,53766,False,
device_0,0.375,1705,1.2,43.254,drop,0.025495575782245466,0.037848376234795686,0.38552080147275025,96177,96176,False,
device_0,0.375,1705,1.2,43.254,late,0.0,0.0,0.26431147564380436,43337,43337,False,
device_0,0.375,1705,1.35,48.66075000000001,drop,0.02666176707062433,0.03862314106938551,0.3873337677613895,98656,98655,False,
device_0,0.375,1705,1.35,48.66075000000001,late,0.0,0.0,0.23370244332743254,30548,30548,False,
device_0,0.375,1705,1.5,54.0675,drop,0.026962244851111917,0.03885213108835891,0.16386371962220078,99351,99350,False,
device_0,0.375,1705,1.5,54.0675,late,0.0,0.0,0.06711749054182951,23178,23178,False,
device_0,0.375,1705,2.0,72.09,drop,0.027023840304861633,0.03890469170960595,0.16398573714245177,99460,99460,False,
