device,rho,deadline_ratio,epsilon,skip_mode,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_state_bad_share_mean,violation_state_bad_share_std,boost_use_rate_mean,boost_use_rate_std,boost_use_rate_good_mean,boost_use_rate_good_std,boost_use_rate_bad_mean,boost_use_rate_bad_std
device_0,0.0,1.2,0.1,drop,P0,0.07035201986823521,0.00021843451036710192,0.1,0.0,4.7,0.4830458915396479,888.7,21.134752844019193,0.43328,0.004789989561575258,0.122912,0.0012525866570155257,0.0,0.0,0.6142947210957159,0.003820428117164985
device_0,0.0,1.2,0.1,drop,P1,0.07565918398291765,0.00022966755396790846,0.031605,0.00038462824764815294,3.0,0.0,98.8,5.902918298980976,1.0,0.0,0.132024,0.0012485831970677796,0.0,0.0,0.6598350483098877,0.003261120250367847
device_0,0.0,1.2,0.1,drop,P2,0.05857185788797957,0.00021668041313760525,0.1,0.0,4.5,0.5270462766947299,902.6,37.0681054876621,1.0,0.0,0.063629,0.0012588129328855863,0.0,0.0,0.31799232021873886,0.0046983872390904315
device_0,0.0,1.2,0.1,drop,P2prime,0.05859006131157914,0.00021651067832494336,0.1,0.0,3.0,0.0,98.8,5.902918298980976,1.0,0.0,0.063629,0.0012588129328855863,0.0,0.0,0.31799232021873886,0.0046983872390904315
device_0,0.0,1.2,0.1,late,P0,0.07729013867398862,0.00021302994690304187,0.1,0.0,4.8,0.7888106377466155,899.0,26.149144876606936,0.43315000000000003,0.003358653830860739,0.12278599999999999,0.0012497039649453057,0.0,0.0,0.6136642510491528,0.003682168030359243
device_0,0.0,1.2,0.1,late,P1,0.0798452408509703,0.00022122269109056542,0.031605,0.00038462824764815294,3.0,0.0,98.8,5.902918298980976,1.0,0.0,0.132024,0.0012485831970677796,0.0,0.0,0.6598350483098877,0.003261120250367847
device_0,0.0,1.2,0.1,late,P2,0.06861543692180487,0.00022003698594983158,0.1,0.0,4.4,0.5163977794943222,891.3,13.904835290086844,1.0,0.0,0.063629,0.0012588129328855863,0.0,0.0,0.31799232021873886,0.0046983872390904315
device_0,0.0,1.2,0.1,late,P2prime,0.06867961304573278,0.0002203958398726626,0.1,0.0,3.0,0.0,98.8,5.902918298980976,1.0,0.0,0.063629,0.0012588129328855863,0.0,0.0,0.31799232021873886,0.0046983872390904315
device_0,0.0,1.2,0.15,drop,P0,0.06644862842245054,0.00021740108788190606,0.15,0.0,5.9,0.316227766016838,1885.7,24.74783941186702,0.3461133333333334,0.0023505292285612924,0.116121,0.0011907369333502887,0.0,0.0,0.5803541483022874,0.0036406237042282035
device_0,0.0,1.2,0.15,drop,P1,0.07565918398291765,0.00022966755396790846,0.031605,0.00038462824764815294,3.0,0.0,98.8,5.902918298980976,1.0,0.0,0.132024,0.0012485831970677796,0.0,0.0,0.6598350483098877,0.003261120250367847
device_0,0.0,1.2,0.15,drop,P2,0.04626136964565098,0.00021376357943982572,0.15,0.0,5.6,0.5163977794943222,1899.8,45.854358813772805,1.0,0.0,0.013628999999999999,0.0012588129328855817,0.0,0.0,0.06808871640908735,0.005917518376971382
device_0,0.0,1.2,0.15,drop,P2prime,0.047149744754483414,0.00016966238299028353,0.15,0.0,3.0,0.0,98.8,5.902918298980976,1.0,0.0,0.022751,0.0008656333583631762,0.0,0.0,0.11369535794340016,0.0038998703552631142
