device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,burst_burn_in_slots,policy,interval_low_inclusive,interval_high_exclusive,count,fraction
device_0,0.0,1704,1.2,42.0,0.1,drop,48,16,3,0.20257,0.002457782015709934,3103,6897,1000,P2,20,50.0,1301,0.13011301130113012
device_0,0.0,1704,1.2,42.0,0.1,drop,48,16,3,0.20257,0.002457782015709934,3103,6897,1000,P2,50,100.0,62,0.006200620062006201
device_0,0.0,1704,1.2,42.0,0.1,drop,48,16,3,0.20257,0.002457782015709934,3103,6897,1000,P2,100,250.0,0,0.0
device_0,0.0,1704,1.2,42.0,0.1,drop,48,16,3,0.20257,0.002457782015709934,3103,6897,1000,P2,250,500.0,0,0.0
device_0,0.0,1704,1.2,42.0,0.1,drop,48,16,3,0.20257,0.002457782015709934,3103,6897,1000,P2,500,inf,0,0.0
device_0,0.0,1705,1.2,42.0,0.1,drop,48,16,3,0.20104,-0.004155617772998724,3178,6822,1000,P2,1,2.0,1010,0.10101010101010101
device_0,0.0,1705,1.2,42.0,0.1,drop,48,16,3,0.20104,-0.004155617772998724,3178,6822,1000,P2,2,3.0,908,0.09080908090809081
device_0,0.0,1705,1.2,42.0,0.1,drop,48,16,3,0.20104,-0.004155617772998724,3178,6822,1000,P2,3,5.0,1522,0.15221522152215222
device_0,0.0,1705,1.2,42.0,0.1,drop,48,16,3,0.20104,-0.004155617772998724,3178,6822,1000,P2,5,10.0,2741,0.2741274127412741
device_0,0.0,1705,1.2,42.0,0.1,drop,48,16,3,0.20104,-0.004155617772998724,3178,6822,1000,P2,10,20.0,2463,0.24632463246324632
device_0,0.0,1705,1.2,42.0,0.1,drop,48,16,3,0.20104,-0.004155617772998724,3178,6822,1000,P2,20,50.0,1298,0.12981298129812982
device_0,0.0,1705,1.2,42.0,0.1,drop,48,16,3,0.20104,-0.004155617772998724,3178,6822,1000,P2,50,100.0,57,0.005700570057005701
device_0,0.0,1705,1.2,42.0,0.1,drop,48,16,3,0.20104,-0.004155617772998724,3178,6822,1000,P2,100,250.0,0,0.0
device_0,0.0,1705,1.2,42.0,0.1,drop,48,16,3,0.20104,-0.004155617772998724,3178,6822,1000,P2,250,500.0,0,0.0
device_0,0.0,1705,1.2,42.0,0.1,drop,48,16,3,0.20104,-0.004155617772998724,3178,6822,1000,P2,500,inf,0,0.0
device_0,0.0,1706,1.2,42.0,0.1,drop,48,16,3,0.20062,-0.0045443747273977144,3146,6854,1000,P2,1,2.0,962,0.0962096209620962
device_0,0.0,1706,1.2,42.0,0.1,drop,48,16,3,0.20062,-0.0045443747273977144,3146,6854,1000,P2,2,3.0,935,0.09350935093509351
device_0,0.0,1706,1.2,42.0,0.1,drop,48,16,3,0.20062,-0.0045443747273977144,3146,6854,1000,P2,3,5.0,1595,0.15951595159515952
device_0,0.0,1706,1.2,42.0,0.1,drop,48,16,3,0.20062,-0.0045443747273977144,3146,6854,1000,P2,5,10.0,2655,0.26552655265526554
device_0,0.0,1706,1.2,42.0,0.1,drop,48,16,3,0.20062,-0.0045443747273977144,3146,6854,1000,P2,10,20.0,2493,0.24932493249324933
device_0,0.0,1706,1.2,42.0,0.1,drop,48,16,3,0.20062,-0.0045443747273977144,3146,6854,1000,P2,20,50.0,1301,0.13011301130113012
device_0,0.0,1706,1.2,42.0,0.1,drop,48,16,3,0.20062,-0.0045443747273977144,3146,6854,1000,P2,50,100.0,58,0.0058005800580058
device_0,0.0,1706,1.2,42.0,0.1,drop,48,16,3,0.20062,-0.0045443747273977144,3146,6854,1000,P2,100,250.0,0,0.0
device_0,0.0,1706,1.2,42.0,0.1,drop,48,16,3,0.20062,-0.0045443747273977144,3146,6854,1000,P2,250,500.0,0,0.0
device_0,0.0,1706,1.2,42.0,0.1,drop,48,16,3,0.20062,-0.0045443747273977144,3146,6854,1000,P2,500,inf,0,0.0
device_0,0.0,1707,1.2,42.0,0.1,drop,48,16,3,0.19896,0.001346027845602329,3139,6861,1000,P2,1,2.0,970,0.09700970097009701
device_0,0.0,1707,1.2,42.0,0.1,drop,48,16,3,0.19896,0.001346027845602329,3139,6861,1000,P2,2,3.0,909,0.09090909090909091
device_0,0.0,1707,1.2,42.0,0.1,drop,48,16,3,0.19896,0.001346027845602329,3139,6861,1000,P2,3,5.0,1602,0.16021602160216022
device_0,0.0,1707,1.2,42.0,0.1,drop,48,16,3,0.19896,0.001346027845602329,3139,6861,1000,P2,5,10.0,2632,0.2632263226322632
