device,epsilon,skip_mode,deadline_ratios_json,oracle_gap_percent_json,adjacent_abs_differences_percent_json,max_adjacent_abs_difference_percent,tolerance_percent,assessable,deadline_axis_active,warning
device_0,0.01,drop,"[1.5, 2.0]","[4.268933093099663, 2.9228374121623872]",[1.3460956809372755],1.3460956809372755,0.01,True,True,
device_0,0.01,late,"[1.5, 2.0]","[2.6018545723419932, 0.9190781177168299]",[1.6827764546251633],1.6827764546251633,0.01,True,True,
device_0,0.05,drop,"[1.35, 1.5, 2.0]","[16.963275834619864, 24.02546940423809, 14.040712532267603]","[7.062193569618227, 9.984756871970488]",9.984756871970488,0.01,True,True,
device_0,0.05,late,"[1.35, 1.5, 2.0]","[11.337878580283933, 14.081593210962701, 4.2631335736544065]","[2.7437146306787685, 9.818459637308294]",9.818459637308294,0.01,True,True,
device_0,0.1,drop,"[1.2, 1.35, 1.5, 2.0]","[21.94383731650431, 37.04232651085491, 34.93398528412178, 27.50551928302907]","[15.098489194350602, 2.108341226733131, 7.428466001092712]",15.098489194350602,0.01,True,True,
device_0,0.1,late,"[1.2, 1.35, 1.5, 2.0]","[15.327234450460402, 24.15754683613709, 18.776718232599077, 8.002401579189208]","[8.830312385676688, 5.3808286035380135, 10.774316653409869]",10.774316653409869,0.01,True,True,
device_0,0.15,drop,"[1.1, 1.2, 1.35, 1.5, 2.0]","[23.154802122615777, 38.2693906923964, 51.010705273212466, 45.59135344074127, 40.403567360017085]","[15.114588569780622, 12.741314580816066, 5.419351832471193, 5.187786080724187]",15.114588569780622,0.01,True,True,
device_0,0.15,late,"[1.1, 1.2, 1.35, 1.5, 2.0]","[16.47256982993114, 26.13721148503082, 32.31915621134379, 22.96067123332122, 10.802162734437593]","[9.664641655099683, 6.181944726312967, 9.358484978022567, 12.158508498883629]",12.158508498883629,0.01,True,True,
