device,rho,seed,deadline_ratio,deadline_ms,skip_mode,saving_p10_j,saving_p50_j,saving_p90_j,saving_unique_count,saving_feasible_unique_count,saving_degenerate,warning
device_0,0.375,1703,1.1,39.6495,drop,0.022742694558532887,0.14738300395184523,0.38282515475992857,9232,9231,False,
device_0,0.375,1703,1.1,39.6495,late,0.0,0.09949052208776406,0.2755016495619665,5449,5449,False,
device_0,0.375,1703,1.2,43.254,drop,0.025546965226130106,0.03820090146760968,0.3861261104239444,9656,9655,False,
device_0,0.375,1703,1.2,43.254,late,0.0,0.0,0.2658334996644518,4496,4496,False,
device_0,0.375,1703,1.35,48.66075000000001,drop,0.026784002750701984,0.03907101502655201,0.3878435469491861,9893,9892,False,
device_0,0.375,1703,1.35,48.66075000000001,late,0.0,0.0,0.23968447776909138,3222,3222,False,
device_0,0.375,1703,1.5,54.0675,drop,0.02702664576935998,0.039257199610925,0.16430686718915696,9952,9951,False,
device_0,0.375,1703,1.5,54.0675,late,0.0,0.0,0.06701957530564114,2446,2446,False,
device_0,0.375,1703,2.0,72.09,drop,0.027080853567735288,0.039334738473994574,0.16444697548033388,9970,9970,False,
device_0,0.375,1703,2.0,72.09,late,0.0,0.0,0.042771417368728325,1900,1900,False,
device_0,0.75,1701,1.1,39.6495,drop,0.022441840672706055,0.14741741364146727,0.3823165134684284,9205,9204,False,
device_0,0.75,1701,1.1,39.6495,late,0.0,0.10022689636631169,0.275574445035379,5502,5502,False,
device_0,0.75,1701,1.2,43.254,drop,0.025252595553079262,0.038087334484589695,0.3854987635709492,9588,9587,False,
device_0,0.75,1701,1.2,43.254,late,0.0,0.0,0.26583507994761624,4425,4425,False,
device_0,0.75,1701,1.35,48.66075000000001,drop,0.02657006466681495,0.03897525768206289,0.3875729855133091,9869,9868,False,
device_0,0.75,1701,1.35,48.66075000000001,late,0.0,0.0,0.23500185631885495,3150,3150,False,
device_0,0.75,1701,1.5,54.0675,drop,0.026853735330727938,0.03916238863442273,0.1640181280124667,9929,9928,False,
device_0,0.75,1701,1.5,54.0675,late,0.0,0.0,0.06759425752605115,2409,2409,False,
device_0,0.75,1701,2.0,72.09,drop,0.026938155579464676,0.03923450902069553,0.1641757664000701,9943,9943,False,
device_0,0.75,1701,2.0,72.09,late,0.0,0.0,0.04300201035520679,1862,1862,False,
device_0,0.75,1702,1.1,39.6495,drop,0.0227213673619569,0.14734880112166626,0.3822375755758536,9190,9189,False,
device_0,0.75,1702,1.1,39.6495,late,0.0,0.0989055995242841,0.2761386754002299,5354,5354,False,
device_0,0.75,1702,1.2,43.254,drop,0.025528947651575186,0.037894187770853335,0.3857409374908864,9592,9591,False,
device_0,0.75,1702,1.2,43.254,late,0.0,0.0,0.2655920762247999,4335,4335,False,
device_0,0.75,1702,1.35,48.66075000000001,drop,0.02670040441214168,0.03869718490655303,0.3875415447667326,9852,9851,False,
device_0,0.75,1702,1.35,48.66075000000001,late,0.0,0.0,0.23601724104114366,3152,3152,False,
device_0,0.75,1702,1.5,54.0675,drop,0.02697683846526841,0.03890051104186189,0.16409394990354656,9924,9923,False,
device_0,0.75,1702,1.5,54.0675,late,0.0,0.0,0.06793137128263657,2422,2422,False,
