device,L,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,policy,interval_low_inclusive,interval_high_exclusive,count,fraction
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P2,2,3,259,0.25925925925925924
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P2,3,5,336,0.33633633633633636
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P2,5,10,323,0.3233233233233233
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P2,10,20,74,0.07407407407407407
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P2,20,50,7,0.007007007007007007
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P2,50,100,0,0.0
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P2,100,250,0,0.0
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P2,250,500,0,0.0
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P2,500,inf,0,0.0
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P3,1,2,3,0.003003003003003003
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P3,2,3,40,0.04004004004004004
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P3,3,5,74,0.07407407407407407
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P3,5,10,369,0.36936936936936937
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P3,10,20,481,0.48148148148148145
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P3,20,50,32,0.03203203203203203
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P3,50,100,0,0.0
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P3,100,250,0,0.0
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P3,250,500,0,0.0
device_0,1,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P3,500,inf,0,0.0
device_0,1,1701,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P2,1,2,0,0.0
device_0,1,1701,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P2,2,3,259,0.25925925925925924
device_0,1,1701,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P2,3,5,336,0.33633633633633636
device_0,1,1701,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0,1000,P2,5,10,323,0.3233233233233233
