device,L,deadline_ratio,epsilon,skip_mode,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_state_bad_share_mean,violation_state_bad_share_std,selected_v_mean,selected_v_std
device_0,1,2.0,0.01,drop,P2prime,0.061018079999999995,0.0007174887940588342,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,2.0,0.01,drop,P3,0.06102693333333333,0.0007129682285581414,0.01,0.0,1.0,0.0,0.0,0.0,0.9933333333333333,0.0057735026918962545,10.0,0.0
device_0,1,2.0,0.01,late,P0,0.062654,0.0007265883280097406,0.01,0.0,1.6666666666666667,0.5773502691896257,1.0,1.0,0.21,0.03999999999999999,,
device_0,1,2.0,0.01,late,P1,0.06270608,0.0007174887940588377,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,1,2.0,0.01,late,P2,0.06245808,0.0007174887940588425,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,2.0,0.01,late,P2prime,0.06245808,0.0007174887940588425,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,2.0,0.01,late,P3,0.06245807999999999,0.0007174887940588342,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0
device_0,1,2.0,0.05,drop,P0,0.05950282666666667,0.0006783640996790241,0.05000000000000001,0.0,2.3333333333333335,0.5773502691896257,23.666666666666668,4.509249752822894,0.21133333333333335,0.014468356276140466,,
device_0,1,2.0,0.05,drop,P1,0.06270608,0.0007174887940588377,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,1,2.0,0.05,drop,P2,0.05426608,0.0007174887940588342,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,2.0,0.05,drop,P2prime,0.05426608,0.0007174887940588342,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,2.0,0.05,drop,P3,0.05427493333333333,0.0007129682285581393,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,0.9986666666666667,0.0011547005383792605,10.0,0.0
device_0,1,2.0,0.05,late,P0,0.062445679999999996,0.0007294676064089504,0.05000000000000001,0.0,3.0,0.0,24.0,2.0,0.21,0.012489995996796783,,
device_0,1,2.0,0.05,late,P1,0.06270608,0.0007174887940588377,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,1,2.0,0.05,late,P2,0.06146608,0.0007174887940588342,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,2.0,0.05,late,P2prime,0.06146608,0.0007174887940588342,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,2.0,0.05,late,P3,0.061466079999999985,0.0007174887940588409,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3700.0,5474.486277268397
device_0,1,2.0,0.1,drop,P0,0.0564368,0.0007360523111844735,0.10000000000000002,0.0,3.3333333333333335,0.5773502691896258,90.0,10.0,0.20099999999999998,0.006244997998398402,,
device_0,1,2.0,0.1,drop,P1,0.06270608,0.0007174887940588377,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,1,2.0,0.1,drop,P2,0.04582608,0.0007174887940588346,0.10000000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,2.0,0.1,drop,P2prime,0.04582608,0.0007174887940588346,0.10000000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,2.0,0.1,drop,P3,0.045883626666666656,0.0007085017943049484,0.10000000000000002,0.0,4.0,0.0,1.3333333333333333,0.5773502691896257,0.9956666666666667,0.0011547005383792605,100.0,0.0
device_0,1,2.0,0.1,late,P0,0.06219768,0.0006970966945840384,0.10000000000000002,0.0,3.0,0.0,91.66666666666667,8.326663997864532,0.205,0.009000000000000001,,
device_0,1,2.0,0.1,late,P1,0.06270608,0.0007174887940588377,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,1,2.0,0.1,late,P2,0.060226079999999994,0.0007174887940588297,0.10000000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,2.0,0.1,late,P2prime,0.060226079999999994,0.0007174887940588297,0.10000000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,1,2.0,0.1,late,P3,0.060226079999999994,0.0007174887940588297,0.10000000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0
device_0,2,1.5,0.01,drop,P0,0.062359359999999996,0.0007664527581005921,0.01,0.0,2.0,0.0,1.6666666666666667,1.1547005383792517,0.21,0.026457513110645897,,
device_0,2,1.5,0.01,drop,P1,0.06299824,0.0007861042129387128,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,2,1.5,0.01,drop,P2,0.06131023999999999,0.0007861042129387187,0.01,0.0,6.333333333333333,2.516611478423583,27.0,2.0,1.0,0.0,,
device_0,2,1.5,0.01,drop,P2prime,0.06131023999999999,0.0007861042129387187,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,2,1.5,0.01,drop,P3,0.06132352,0.0007861042129387181,0.01,0.0,1.0,0.0,0.0,0.0,0.9899999999999999,0.0,10.0,0.0
device_0,2,1.5,0.01,late,P0,0.06294946666666666,0.0007814856920848468,0.01,0.0,1.6666666666666667,0.5773502691896257,0.6666666666666666,0.5773502691896258,0.19666666666666668,0.04725815626252608,,
device_0,2,1.5,0.01,late,P1,0.06299824,0.0007861042129387128,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,2,1.5,0.01,late,P2,0.06275024,0.0007861042129387164,0.01,0.0,6.333333333333333,2.516611478423583,27.0,2.0,1.0,0.0,,
device_0,2,1.5,0.01,late,P2prime,0.06275024,0.0007861042129387164,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,2,1.5,0.01,late,P3,0.06275024,0.0007861042129387167,0.01,0.0,1.6666666666666667,1.1547005383792517,0.3333333333333333,0.5773502691896258,1.0,0.0,40.0,51.96152422706632
device_0,2,1.5,0.05,drop,P0,0.059963199999999994,0.0008159368603023127,0.05000000000000001,0.0,3.3333333333333335,0.5773502691896257,25.0,1.7320508075688772,0.18600000000000003,0.008717797887081356,,
device_0,2,1.5,0.05,drop,P1,0.06299824,0.0007861042129387128,0.0,0.0,0.0,0.0,0.0,0.0,,,,
