device,L,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,sha256
device_0,1,1703,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,100,8659fc966a66520474e57c350ea3d41e022705e6d703e34ddff5b94c0ee17efd
device_0,1,1703,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,500,798ad20d3b1ce1dafba80a8e2028877bdc3923baec32eac3e70ea8ccc4fa7415
device_0,1,1703,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,500,cb1d8b1716101d1bd79af053452d53b483a5865a1d8e6c7df7539536bda0673d
device_0,1,1703,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,1000,21064f9c84070eec158f36ed38e7ef1f6bfac7a06d4cf56a61f7c92fb652c409
device_0,1,1703,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2036,-0.25560368463642164,0,1000,aa6fb9433fec7b926f375d1986f6d176ec80d9339b51fac255b558331dd2a1da
device_0,2,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2061,0.3802658375334607,0,100,230c5217cd1b5ea8aa28921a5a31c44815143eef144bd3f47f975920541874d9
device_0,2,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2061,0.3802658375334607,0,100,3293ad63e48a0ae9bca5762652a3721845ce20f1655c3f3fe22bc9de5996984d
device_0,2,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2061,0.3802658375334607,0,500,27fe1fbd015d01def1476cf8c7733b7eca782dba698ac91ea3b0ae1175c15929
device_0,2,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2061,0.3802658375334607,0,500,7d57da50cbf8325f493b9535abbe5c07e25e803e663962946316ccb47c20dd71
device_0,2,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2061,0.3802658375334607,0,1000,00c36302f78ef630796380b4f49f59c5696dea1cda168cffbc740e6c4718e757
device_0,2,1701,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2061,0.3802658375334607,0,1000,5ba69ae4f7fc3d614b67a14daf0a1a2cfefce4657f5d34499c3384873952b534
device_0,2,1701,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2061,0.3802658375334607,0,100,b0e4f0c39889cf45313e8ade7acc2f21e406bd048223f064dbac31664ff1353d
device_0,2,1701,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2061,0.3802658375334607,0,100,fd6a5f55706f58bfd0b178d9ce9d362da53ce4d02609ae6b26a0a9aaf4f5c42a
device_0,2,1701,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2061,0.3802658375334607,0,500,1fe356110247f11d64b74815a9b1ccfea338458ebe54e9898b1cb357a71b3957
device_0,2,1701,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2061,0.3802658375334607,0,500,58aa1e8b83848a3f9484d24138854eee3ef411f95962e20eee8429ae0750f87f
device_0,2,1701,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2061,0.3802658375334607,0,1000,503e7fe9db856d616bde3fc9f482dc8f7b1a366e20858f7e5b264e810ab964b4
device_0,2,1701,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2061,0.3802658375334607,0,1000,abdb709aaee36101d26a26477831e902b7bc5083f5164eef6aff261467c58313
device_0,2,1702,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.2073,0.39387452605194295,0,100,28ba79e800ae44a461a0f875e947eca350ca24d17ce27b6d1239be4facb0f8b3
device_0,2,1702,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.2073,0.39387452605194295,0,100,5b09bd7e5326e86f04d69c506bd5200acdd30cd5aec49dbee1f00bfad16e86b9
device_0,2,1702,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.2073,0.39387452605194295,0,500,738c8b4d054768c493dcf655de4912eeb2d066d53b6ec9f6faee8037b0401464
device_0,2,1702,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.2073,0.39387452605194295,0,500,1405168078ace551ff27eb645de6ed4d688d58d30fb04d150f16202910f916c8
device_0,2,1702,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.2073,0.39387452605194295,0,1000,c389cdad6477350591abdae0adc27cd5d1869c7ea691530c57d9dc22c73b6eae
