device,L,deadline_ratio,epsilon,skip_mode,discard_gain_percent_mean,discard_gain_percent_std,targeting_gain_percent_mean,targeting_gain_percent_std,oracle_gap_percent_mean,oracle_gap_percent_std,online_recovery_mean,online_recovery_std,p2prime_gap_percent_mean,p2prime_gap_percent_std,pi_bad_observed_mean,pi_bad_observed_std,lag1_autocorr_mean,lag1_autocorr_std
device_0,1,1.5,0.01,drop,0.9268981076513781,0.03644437660946508,1.7652623165861099,0.06111609200652339,2.6921604242374877,0.03099763264969325,0.994755134281203,0.00454218695191634,0.0,0.0,0.20109999999999997,0.005402777063696049,-0.2517116676604246,0.008363156600328691
device_0,1,1.5,0.01,late,0.09489492958962446,0.024404809744749713,0.30063574885285,0.025408282887316606,0.3955306784424744,0.004554154559914653,,,0.0,0.0,0.20109999999999997,0.005402777063696049,-0.2517116676604246,0.008363156600328691
device_0,1,1.5,0.05,drop,5.0922950010112435,0.31439064387491755,8.36850712017616,0.4495981863515047,13.460802121187404,0.15498816324848633,0.9989510268562408,0.0009084373903830516,0.0,0.0,0.20109999999999997,0.005402777063696049,-0.2517116676604246,0.008363156600328691
device_0,1,1.5,0.05,late,0.3862061109562602,0.03400286561889268,1.591447281256108,0.04522880105640509,1.9776533922123682,0.022770772799536345,1.000000000000011,,0.0,0.0,0.20109999999999997,0.005402777063696049,-0.2517116676604246,0.008363156600328691
device_0,1,1.5,0.1,drop,10.118432175716999,0.1504567233569487,16.803172066657808,0.27318265119848717,26.92160424237481,0.309976326496975,0.9965908372827808,0.0009084373903834203,0.0,0.0,0.20109999999999997,0.005402777063696049,-0.2517116676604246,0.008363156600328691
device_0,1,1.5,0.1,late,0.7591198217876293,0.031895391573156955,3.196186962637114,0.07657837301698939,3.9553067844247436,0.04554154559906882,1.0,0.0,0.0,0.0,0.20109999999999997,0.005402777063696049,-0.2517116676604246,0.008363156600328691
device_0,1,2.0,0.01,drop,0.9974781151297073,0.02553941246692536,1.6946823091077807,0.05635972808514101,2.6921604242374877,0.03099763264969325,0.994755134281203,0.00454218695191634,0.0,0.0,0.20109999999999997,0.005402777063696049,-0.2517116676604246,0.008363156600328691
device_0,1,2.0,0.01,late,0.08317260407732706,0.016745899352885025,0.31235807436514734,0.012642976074375917,0.3955306784424744,0.004554154559914653,,,0.0,0.0,0.20109999999999997,0.005402777063696049,-0.2517116676604246,0.008363156600328691
device_0,1,2.0,0.05,drop,5.1082634394207425,0.13558611365508255,8.352538681766662,0.2156043036764859,13.460802121187404,0.15498816324848633,0.9989510268562408,0.0009084373903830516,0.0,0.0,0.20109999999999997,0.005402777063696049,-0.2517116676604246,0.008363156600328691
device_0,1,2.0,0.05,late,0.41545277796027835,0.028530950210835397,1.56220061425209,0.0157232207235966,1.9776533922123682,0.022770772799536345,1.000000000000011,,0.0,0.0,0.20109999999999997,0.005402777063696049,-0.2517116676604246,0.008363156600328691
device_0,1,2.0,0.1,drop,9.998934044693584,0.18940520509618797,16.922670197681224,0.21517229615424563,26.92160424237481,0.309976326496975,0.9965908372827808,0.0009084373903834203,0.0,0.0,0.20109999999999997,0.005402777063696049,-0.2517116676604246,0.008363156600328691
device_0,1,2.0,0.1,late,0.8105877771971781,0.027377732473402874,3.144719007227566,0.07040552064408608,3.9553067844247436,0.04554154559906882,1.0,0.0,0.0,0.0,0.20109999999999997,0.005402777063696049,-0.2517116676604246,0.008363156600328691
device_0,2,1.5,0.01,drop,1.0139602652553663,0.049438663150569016,1.6657597589853623,0.07004501571874003,2.6797200242407286,0.033669697210833696,0.9921327014217957,2.4043442600993574e-15,0.0,0.0,0.2033,0.005919459434779494,0.3880661521285527,0.007019613346043559
device_0,2,1.5,0.01,late,0.07736615493879098,0.018119847018341798,0.31633678701126694,0.020412207692169698,0.39370294195005795,0.004946732765576085,,,0.0,0.0,0.2033,0.005919459434779494,0.3880661521285527,0.007019613346043559
device_0,2,1.5,0.05,drop,4.818536452553504,0.13208722300401787,8.580063668650062,0.10152395332498469,13.398600121203566,0.16834848605414204,0.9937061611374406,0.001573459715640324,0.0,0.0,0.2033,0.005919459434779494,0.3880661521285527,0.007019613346043559
device_0,2,1.5,0.05,late,0.3906130466792139,0.05899252842265875,1.5779016630710867,0.08131417238756962,1.9685147097503004,0.024733663827861095,,,0.0,0.0,0.2033,0.005919459434779494,0.3880661521285527,0.007019613346043559
