N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,I1_energy_j,J1_energy_j,I2_energy_j,J2_energy_j,server_only_percent,targeting_indep_percent,targeting_joint_percent,interaction_percent_points,total_percent,identity_error_percent_points,I1_violation_rate_mean,J1_violation_rate_mean,I2_violation_rate_mean,J2_violation_rate_mean,I1_violation_set_sha256_by_device_json,J1_violation_set_sha256_by_device_json,I2_violation_set_sha256_by_device_json,J2_violation_set_sha256_by_device_json,I2_violation_spread,J2_violation_spread,I2_jain_index,J2_jain_index,J2_source,J2_heuristic_selected,J2_I2_guard_selected,J2_J1_guard_selected,J2_repair_success,J2_lambda_initial_json,J2_lambda_final_json,J2_iterations
2,common,0.0,1702,1.2,53.988,44.99,0.05,drop,0.2316283115162696,0.20862783743173546,0.2092290760456015,0.17582917983137053,9.929906207911287,9.670335773740154,14.160038289646277,4.489702515906123,24.089944497557564,0.0,0.0216,0.0216,0.05,0.05,"[""cc2145992030411bffdbddc79728216aa810a35b64ef6bc04c224338a73c1b0c"", ""cc2145992030411bffdbddc79728216aa810a35b64ef6bc04c224338a73c1b0c""]","[""cc2145992030411bffdbddc79728216aa810a35b64ef6bc04c224338a73c1b0c"", ""cc2145992030411bffdbddc79728216aa810a35b64ef6bc04c224338a73c1b0c""]","[""759b2c07d87b4ee93af8676f100dc88677134e6071b5cf340ff377bb966b2187"", ""759b2c07d87b4ee93af8676f100dc88677134e6071b5cf340ff377bb966b2187""]","[""3147737d6723c7fcc0d6ec928767a9ca51fdf85c06fc83a6b83272894fc04113"", ""82cdcf2d69acb840960514b64424627c8aacf3b3008fafea75efd5797fabd5e0""]",0,0.0,1,1.0,heuristic,True,False,False,True,"[0.0386604188150254, 0.0386604188150254]","[0.4018248110221605, 0.449015076204692]",20
2,common,0.0,1703,1.2,53.988,44.99,0.05,drop,0.22726711785143908,0.20439415524304402,0.20462673999369277,0.17066761301765168,10.064351950530188,9.96201213434931,14.840044853052103,4.8780327187027925,24.904396803582294,3.552713678800501e-15,0.0213,0.0213,0.05,0.05,"[""7c8e21b30bb4641ccbf8a88769669fcff845ba203d8a2ae76cad5fedb344b515"", ""7c8e21b30bb4641ccbf8a88769669fcff845ba203d8a2ae76cad5fedb344b515""]","[""7c8e21b30bb4641ccbf8a88769669fcff845ba203d8a2ae76cad5fedb344b515"", ""7c8e21b30bb4641ccbf8a88769669fcff845ba203d8a2ae76cad5fedb344b515""]","[""11f92394d7cd4892b6aa184e16aa6097ab40f7355d5231533ba085a7cf2552db"", ""11f92394d7cd4892b6aa184e16aa6097ab40f7355d5231533ba085a7cf2552db""]","[""158d41efb44e813380bb77126e083fa86b907e795809487157ea56654702c67d"", ""35056a39a5f4d5b3be635c3c990a5c13a1ef9015e527f495f5a3e8d2a5fec17c""]",0,0.0,1,1.0,heuristic,True,False,False,True,"[0.03840483355513077, 0.03840483355513077]","[0.4422856756185023, 0.43143038063916095]",20
2,common,0.75,1701,1.2,53.988,44.99,0.05,drop,0.2306260972091156,0.20737938282303695,0.2083795783352819,0.17616402738569473,10.079828201315895,9.646141153601583,13.535049075143617,3.8889079215420335,23.614877276459513,1.7763568394002505e-15,0.0218,0.0218,0.05,0.04365,"[""ff57173ceca6b76a6e9eac56a4a2b804cdb2d60b33e5bbf16cbdf08afaf63882"", ""ff57173ceca6b76a6e9eac56a4a2b804cdb2d60b33e5bbf16cbdf08afaf63882""]","[""ff57173ceca6b76a6e9eac56a4a2b804cdb2d60b33e5bbf16cbdf08afaf63882"", ""ff57173ceca6b76a6e9eac56a4a2b804cdb2d60b33e5bbf16cbdf08afaf63882""]","[""2fb582ef657ad40f5a31aa569b807c0086efcaf5f463901613ede59ea970b547"", ""2fb582ef657ad40f5a31aa569b807c0086efcaf5f463901613ede59ea970b547""]","[""77d6c776fff3b16df0d860904c9859c23589a2b6b99daf6fd0ba3ecafdce72c2"", ""cce8a77641a47de20e1dbfa35eb2149af966bb4ceac49439040a41d5b54f5bd7""]",0,0.012700000000000003,1,0.9792755101778586,heuristic,True,False,False,True,"[0.03886633176953998, 0.03886633176953998]","[0.3992650408767659, 0.44458480141991646]",20
2,common,0.75,1702,1.2,53.988,44.99,0.05,drop,0.23358274761533643,0.21031223272250818,0.21258200374176914,0.1754894834666188,9.962428788255409,8.990708469681705,14.908099853862241,5.917391384180537,24.870528642117648,-1.7763568394002505e-15,0.0234,0.0234,0.05,0.0492,"[""5691672742c7037654616d4d1a87484a197bc8f408a37fe51f9df9a2379f6e9d"", ""5691672742c7037654616d4d1a87484a197bc8f408a37fe51f9df9a2379f6e9d""]","[""5691672742c7037654616d4d1a87484a197bc8f408a37fe51f9df9a2379f6e9d"", ""5691672742c7037654616d4d1a87484a197bc8f408a37fe51f9df9a2379f6e9d""]","[""eeb0519ef357f1c108d12c76c6d029d2a3e7e4c1755f0206614b529682c89959"", ""eeb0519ef357f1c108d12c76c6d029d2a3e7e4c1755f0206614b529682c89959""]","[""e88560e9b005e4584570bc55d289a5ebd2276234dedc6066ad671a72314ca6be"", ""7d862b191a1efad42bf8994266b1467352f42f03cc0e3bab60fb61a1cb951367""]",0,0.0016000000000000042,1,0.9997356769972905,heuristic,True,False,False,True,"[0.03880387272450925, 0.03880387272450925]","[0.4367798789012054, 0.39103105510054204]",20
2,common,0.75,1703,1.2,53.988,44.99,0.05,drop,0.23168869899247183,0.20885495581788727,0.21063361792725901,0.17380176050927937,9.855354738439999,9.087659931957642,15.129436809409022,6.04177687745138,24.984791547849017,-3.552713678800501e-15,0.0233,0.0233,0.05,0.04805,"[""e5fbaf981f20757f7c0183366261e8f434942f6b10d12c0222be926f21831a23"", ""e5fbaf981f20757f7c0183366261e8f434942f6b10d12c0222be926f21831a23""]","[""e5fbaf981f20757f7c0183366261e8f434942f6b10d12c0222be926f21831a23"", ""e5fbaf981f20757f7c0183366261e8f434942f6b10d12c0222be926f21831a23""]","[""37f75ab53f67775f439c06ec635f493f9a2e45c334c6a179f130bd912ce49afe"", ""37f75ab53f67775f439c06ec635f493f9a2e45c334c6a179f130bd912ce49afe""]","[""115708ad5b3ba83c5cecbdfd14a87cbad5875bbb1f8a22ddc758834d2c379fcb"", ""16a4893e1d793795bf58e20b06b1a6d753de8362c70b97223ccfde17630a6ec0""]",0,0.0039000000000000007,1,0.9983557503334982,heuristic,True,False,False,True,"[0.038516667574272474, 0.038516667574272474]","[0.4483550168059588, 0.4079649656146087]",20
2,common,0.975,1701,1.2,53.988,44.99,0.05,drop,0.22822493616657738,0.20550943182076126,0.20652611577292618,0.1719768651519038,9.953121130127725,9.507646604319177,14.692770751563547,5.18512414724437,24.64589188169127,-1.7763568394002505e-15,0.0225,0.0225,0.05,0.046700000000000005,"[""1ee1f79893f0993f77e9a07a116c1f422b757b5b78875fac06f7f2825a82fe55"", ""1ee1f79893f0993f77e9a07a116c1f422b757b5b78875fac06f7f2825a82fe55""]","[""1ee1f79893f0993f77e9a07a116c1f422b757b5b78875fac06f7f2825a82fe55"", ""1ee1f79893f0993f77e9a07a116c1f422b757b5b78875fac06f7f2825a82fe55""]","[""46d5e7b2355f3b36303a4ef3462f7f6ab231ab18a2945d85466925b65d1dcd28"", ""46d5e7b2355f3b36303a4ef3462f7f6ab231ab18a2945d85466925b65d1dcd28""]","[""3d53b445d30400cd93ccc0a2b741bc4febcbd4bd25cae86b3ce8a52d0d47eef8"", ""41b5e15d9f93e369b9959a2903499becd93d9a0d88a8d035cb781f528efe5add""]",0,0.006600000000000002,1,0.9950314356367884,heuristic,True,False,False,True,"[0.03853923964809936, 0.03853923964809936]","[0.432807128384367, 0.40085618619103797]",20
2,common,0.975,1702,1.2,53.988,44.99,0.05,drop,0.22478597967754294,0.20189535690297047,0.20450118762661065,0.17389347321289317,10.183296488245938,9.024046820015624,12.457130880781001,3.4330840607653776,22.640427369026938,-1.7763568394002505e-15,0.0243,0.0243,0.05,0.04315,"[""a01546b1cdb147a492531a1b2c23493dda2580b0f43aad2f2130414f49091869"", ""a01546b1cdb147a492531a1b2c23493dda2580b0f43aad2f2130414f49091869""]","[""a01546b1cdb147a492531a1b2c23493dda2580b0f43aad2f2130414f49091869"", ""a01546b1cdb147a492531a1b2c23493dda2580b0f43aad2f2130414f49091869""]","[""925e856f42b5b971e1c5c8a3b03ed391fd5413b1cf4be2939f00dc2bcee09ef6"", ""925e856f42b5b971e1c5c8a3b03ed391fd5413b1cf4be2939f00dc2bcee09ef6""]","[""566fd434aa45cf06269ac50fcc6ddc5ab2681f63140c55fd21b79d647bad29ce"", ""bd6042a1391b760370267e6a16e76f9212cbdfe6870061924b7cd6958b345385""]",0,0.013700000000000004,1,0.9754183812724447,heuristic,True,False,False,True,"[0.03853098215334435, 0.03853098215334435]","[0.4385848569250342, 0.404268369104354]",20
2,common,0.975,1703,1.2,53.988,44.99,0.05,drop,0.22447777351267204,0.20157659320335328,0.2013771770720293,0.1672366678882865,10.201981225560383,10.290816805227575,15.297695080323061,5.006878275095486,25.499676305883444,0.0,0.0207,0.0207,0.05,0.05,"[""08eb0f32a71547de130887bd3bfe42df90e8802c4d0554b5cb622ce3efb045f2"", ""08eb0f32a71547de130887bd3bfe42df90e8802c4d0554b5cb622ce3efb045f2""]","[""08eb0f32a71547de130887bd3bfe42df90e8802c4d0554b5cb622ce3efb045f2"", ""08eb0f32a71547de130887bd3bfe42df90e8802c4d0554b5cb622ce3efb045f2""]","[""d237c3b7042d2023b9411c772fc72db62bc989b74ccbd816459b719889d2fd3f"", ""d237c3b7042d2023b9411c772fc72db62bc989b74ccbd816459b719889d2fd3f""]","[""91e4938ebcbf868881829de123b0633ecefd7c7039ba7a75f3681852d6efce4b"", ""25bbd5c451622c5015309c4663cd4a8413afa0b8f3c78ce61c33e102d52b8e59""]",0,0.0,1,1.0,heuristic,True,False,False,True,"[0.03853997028911414, 0.03853997028911414]","[0.3950221929290479, 0.43982135937768346]",20
2,independent,0.0,1701,1.2,53.988,44.99,0.05,late,0.24016808524033967,0.19829433840750918,0.22446540291323708,0.17938213369161982,17.43518369267375,6.538205237131607,7.874570302279609,1.3363650651480015,25.309753994953358,-8.881784197001252e-16,0.022600000000000002,0.022600000000000002,0.05,0.05,"[""5b663535ad280055410c162f7428875d0449af4b4c9cc488ae9d8d9bb6adf677"", ""a27b64401cea353f5f610da2c52d29583d0b5ac5bfe3baba1773e7e82f26ec8e""]","[""5b663535ad280055410c162f7428875d0449af4b4c9cc488ae9d8d9bb6adf677"", ""a27b64401cea353f5f610da2c52d29583d0b5ac5bfe3baba1773e7e82f26ec8e""]","[""a98a6994bf1d9873132d2874b19559bf55bf47cf1422eb06049b6c50c1f5f294"", ""93c5340f250b802bad47d953a5bfd3caacfcd2e1c615654a6e84cbdb3277591d""]","[""5286c7632980452f4be22a2c0beb47a1954ca341cae1f5095f5cc58fd4e0d331"", ""6354aed018918dd082a55014e026000154c8c5675bc004690c3cfac8b12c7349""]",0,0.0,1,1.0,heuristic,True,False,False,True,"[0.0996288101647377, 0.09955892282536966]","[0.26778796339555183, 0.269665263931427]",20
2,independent,0.0,1702,1.2,53.988,44.99,0.05,late,0.23708828719465236,0.1964854442246618,0.2214664798081234,0.17837977694770038,17.12562161987156,6.589025367458692,7.636677244243805,1.047651876785113,24.762298864115365,8.881784197001252e-16,0.02275,0.02275,0.05,0.04915,"[""cc2145992030411bffdbddc79728216aa810a35b64ef6bc04c224338a73c1b0c"", ""34d4630883fca9d04dac1e85974cb009cf2a3d819af8491c058e34d365c42f55""]","[""cc2145992030411bffdbddc79728216aa810a35b64ef6bc04c224338a73c1b0c"", ""34d4630883fca9d04dac1e85974cb009cf2a3d819af8491c058e34d365c42f55""]","[""d38ee23885d658e9828ae82a80626da9170955d24a1cb6e10e8c93038856189f"", ""93542a5eca15687d469db301c34a55312bc4c0d95fd5e201066509061ac64505""]","[""1df80774257bf49ff0c810ac8b8c038a0fc530f3a1bd10e06246a6d97764041f"", ""0a4e1f8bedf03f7ae17e848ba9dc5324038ff91485a92c64ae439978bf3a798f""]",0,0.0017000000000000001,1,0.9997010070578886,heuristic,True,False,False,True,"[0.09971246059520941, 0.09950290166964121]","[0.2652924126176762, 0.2707472528754139]",20
