N,channel_sync,rho,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,forced_violation_expected,valid,exclusion_reason
4,independent,0.975,1.5,94.32000000000001,62.88,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
4,common,0.975,1.5,94.32000000000001,62.88,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
4,independent,0.975,1.5,94.32000000000001,62.88,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
4,common,0.975,1.5,94.32000000000001,62.88,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.0,1.2,118.392,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.0,1.2,118.392,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.0,1.2,118.392,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.0,1.2,118.392,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.0,1.2,118.392,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.0,1.2,118.392,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.0,1.2,118.392,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.0,1.2,118.392,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.0,1.35,133.191,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.0,1.35,133.191,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.0,1.35,133.191,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.0,1.35,133.191,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.0,1.35,133.191,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.0,1.35,133.191,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.0,1.35,133.191,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.0,1.35,133.191,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.0,1.5,147.99,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.0,1.5,147.99,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.0,1.5,147.99,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.0,1.5,147.99,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.0,1.5,147.99,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.0,1.5,147.99,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.0,1.5,147.99,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.0,1.5,147.99,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.75,1.2,118.392,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.75,1.2,118.392,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.75,1.2,118.392,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.75,1.2,118.392,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.75,1.2,118.392,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.75,1.2,118.392,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.75,1.2,118.392,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.75,1.2,118.392,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.75,1.35,133.191,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.75,1.35,133.191,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.75,1.35,133.191,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.75,1.35,133.191,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.75,1.35,133.191,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.75,1.35,133.191,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.75,1.35,133.191,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.75,1.35,133.191,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.75,1.5,147.99,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.75,1.5,147.99,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.75,1.5,147.99,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.75,1.5,147.99,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.75,1.5,147.99,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.75,1.5,147.99,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.75,1.5,147.99,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.75,1.5,147.99,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.975,1.2,118.392,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.975,1.2,118.392,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.975,1.2,118.392,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.975,1.2,118.392,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.975,1.2,118.392,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.975,1.2,118.392,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.975,1.2,118.392,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.975,1.2,118.392,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.975,1.35,133.191,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.975,1.35,133.191,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.975,1.35,133.191,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.975,1.35,133.191,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.975,1.35,133.191,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.975,1.35,133.191,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.975,1.35,133.191,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.975,1.35,133.191,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.975,1.5,147.99,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.975,1.5,147.99,98.66,0.05,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.975,1.5,147.99,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.975,1.5,147.99,98.66,0.05,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.975,1.5,147.99,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.975,1.5,147.99,98.66,0.15,drop,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,independent,0.975,1.5,147.99,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
8,common,0.975,1.5,147.99,98.66,0.15,late,0.0,True,valid: expected forced-violation rate is below epsilon/2
