N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,elapsed_seconds,slots,J2_iterations
2,independent,0.975,1702,1.2,53.988,44.99,0.15,late,0.3021665000123903,10000,20
2,independent,0.975,1703,1.2,53.988,44.99,0.15,late,0.2869072000030428,10000,20
2,common,0.0,1701,1.2,53.988,44.99,0.15,late,0.7362617000035243,10000,20
2,common,0.0,1702,1.2,53.988,44.99,0.15,late,0.8160822999925585,10000,20
2,common,0.0,1703,1.2,53.988,44.99,0.15,late,0.6412393000064185,10000,20
2,common,0.75,1701,1.2,53.988,44.99,0.15,late,0.5658586999925319,10000,20
2,common,0.75,1702,1.2,53.988,44.99,0.15,late,0.6045657000067877,10000,20
2,common,0.75,1703,1.2,53.988,44.99,0.15,late,0.5036944000021322,10000,20
2,common,0.975,1701,1.2,53.988,44.99,0.15,late,0.515718000009656,10000,20
2,common,0.975,1702,1.2,53.988,44.99,0.15,late,0.4813413999945624,10000,20
2,common,0.975,1703,1.2,53.988,44.99,0.15,late,0.47949810000136495,10000,20
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.05,drop,0.2332440000027418,10000,20
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.05,drop,0.233963999999105,10000,20
2,independent,0.0,1703,1.35,60.73650000000001,44.99,0.05,drop,0.2334314999898197,10000,20
2,independent,0.75,1701,1.35,60.73650000000001,44.99,0.05,drop,0.22952400000940543,10000,20
2,independent,0.75,1702,1.35,60.73650000000001,44.99,0.05,drop,0.22371099999872968,10000,20
2,independent,0.75,1703,1.35,60.73650000000001,44.99,0.05,drop,0.2309048999886727,10000,20
2,independent,0.975,1701,1.35,60.73650000000001,44.99,0.05,drop,0.22856150000006892,10000,20
2,independent,0.975,1702,1.35,60.73650000000001,44.99,0.05,drop,0.22662889999628533,10000,20
2,independent,0.975,1703,1.35,60.73650000000001,44.99,0.05,drop,0.22451090000686236,10000,20
2,common,0.0,1701,1.35,60.73650000000001,44.99,0.05,drop,0.23538050000206567,10000,20
2,common,0.0,1702,1.35,60.73650000000001,44.99,0.05,drop,0.23619049999979325,10000,20
2,common,0.0,1703,1.35,60.73650000000001,44.99,0.05,drop,0.23980579999624752,10000,20
2,common,0.75,1701,1.35,60.73650000000001,44.99,0.05,drop,0.23852709999482613,10000,20
2,common,0.75,1702,1.35,60.73650000000001,44.99,0.05,drop,0.23390909998852294,10000,20
2,common,0.75,1703,1.35,60.73650000000001,44.99,0.05,drop,0.23741780000273138,10000,20
2,common,0.975,1701,1.35,60.73650000000001,44.99,0.05,drop,0.23766840000462253,10000,20
