N,channel_sync,rho,deadline_ratio,epsilon,skip_mode,I2_violation_spread_mean,J2_violation_spread_mean,I2_jain_index_mean,J2_jain_index_mean
2,independent,0.975,1.2,0.15,drop,0.0,2.5999999999998247e-05,1.0,0.9999999825729935
2,independent,0.975,1.2,0.15,late,0.0,0.0044800000000000005,1.0,0.9996014759965235
2,independent,0.975,1.35,0.05,drop,0.0,0.0017780000000000005,1.0,0.9992258746451936
2,independent,0.975,1.35,0.05,late,0.0,4.200000000000245e-05,1.0,0.9999996031205391
2,independent,0.975,1.35,0.15,drop,0.0,0.0005679999999999962,1.0,0.9999931089543572
2,independent,0.975,1.35,0.15,late,0.0,0.0,1.0,1.0
2,independent,0.975,1.5,0.05,drop,0.0,0.0,1.0,1.0
2,independent,0.975,1.5,0.05,late,0.0,0.00019800000000000096,1.0,0.9999910630482882
2,independent,0.975,1.5,0.15,drop,0.0,0.0001539999999999986,1.0,0.9999990386584539
2,independent,0.975,1.5,0.15,late,0.0,0.005927999999999994,1.0,0.9995820002063669
4,common,0.0,1.2,0.05,drop,0.0,0.0,1.0,1.0
4,common,0.0,1.2,0.05,late,0.0,0.0,1.0,1.0
4,common,0.0,1.2,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.0,1.2,0.15,late,0.0,0.0,1.0,1.0
4,common,0.0,1.35,0.05,drop,0.0,0.0,1.0,1.0
4,common,0.0,1.35,0.05,late,0.0,0.0,1.0,1.0
4,common,0.0,1.35,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.0,1.35,0.15,late,0.0,0.033269999999999994,1.0,0.9905132559453265
4,common,0.0,1.5,0.05,drop,0.0,0.0,1.0,1.0
4,common,0.0,1.5,0.05,late,0.0,0.0008760000000000011,1.0,0.9998932284795419
4,common,0.0,1.5,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.0,1.5,0.15,late,0.0,0.03899,1.0,0.9866762613276006
4,common,0.75,1.2,0.05,drop,0.0,0.0,1.0,1.0
4,common,0.75,1.2,0.05,late,0.0,0.0,1.0,1.0
