N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,check,passed,detail,severity
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,energy_J2_le_I2,True,"{""I1"": 0.17121943853492388, ""I2"": 0.08873862316587257, ""J1"": 0.156080580386876, ""J2"": 0.08565962973313843}",required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,energy_J2_le_J1,True,"{""I1"": 0.17121943853492388, ""I2"": 0.08873862316587257, ""J1"": 0.156080580386876, ""J2"": 0.08565962973313843}",required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,energy_J1_le_I1,True,"{""I1"": 0.17121943853492388, ""I2"": 0.08873862316587257, ""J1"": 0.156080580386876, ""J2"": 0.08565962973313843}",required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,energy_I2_le_I1,True,"{""I1"": 0.17121943853492388, ""I2"": 0.08873862316587257, ""J1"": 0.156080580386876, ""J2"": 0.08565962973313843}",required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_I1_within_one,True,max=1,required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I1_device_0,True,count=43 budget=1500,required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I1_device_1,True,count=43 budget=1500,required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_J1_within_one,True,max=1,required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J1_device_0,True,count=43 budget=1500,required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J1_device_1,True,count=43 budget=1500,required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_I2_within_one,True,max=1,required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I2_device_0,True,count=1500 budget=1500,required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I2_device_1,True,count=1500 budget=1500,required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_J2_within_one,True,max=1,required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J2_device_0,True,count=1486 budget=1500,required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J2_device_1,True,count=1500 budget=1500,required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,J1_violation_sets_equal_I1,True,per-device violation arrays compared exactly,required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,decomposition_total_identity,True,error_pp=0.0,required
2.0,common,0.0,1702.0,1.35,60.73650000000001,44.99,0.15,drop,J2_repair_or_guard_feasible,True,source=heuristic repair_success=True,required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,energy_J2_le_I2,True,"{""I1"": 0.16800933431441412, ""I2"": 0.08667916887610809, ""J1"": 0.15471487699933964, ""J2"": 0.08362393551763055}",required
