N,channel_sync,rho,seed,device,device_index,trace_sha256,p_bg,p_gb,device_index_entropy,pi_bad_observed,lag1_autocorr,lag1_autocorr_theory,rate_jitter_sigma_log,rate_jitter_p10,rate_jitter_p50,rate_jitter_p90,resample_attempt
4,independent,0.0,1702,device_0,0,ca3f85a7a16f8b33bbb9e42d5c7346f58e31b060f56bbe6419ebbec63c49ecfb,0.8,0.2,0,0.2044,-0.0003880774600071656,0.0,0.25,0.7272171318666795,0.9977683825918804,1.3791519758171793,0
4,independent,0.0,1702,device_1,1,201d29cf97407684d4aea04c35b54586d783780e944fee98a9895788f50ea9ae,0.8,0.2,1,0.2003,0.006716975562169496,0.0,0.25,0.7246232248639861,1.0061149457123375,1.3803526973167801,0
4,independent,0.0,1702,device_2,2,5be99e5f6b2e523d7acba62686e11f388beb77309849e6c32cb202520e466972,0.8,0.2,2,0.1994,-0.007920137677241567,0.0,0.25,0.7208107162819725,0.9980653307498552,1.3766768631317081,0
4,independent,0.0,1702,device_3,3,cff04430139e1bf589fcee611ef62276c7abf2fb07afac151c05b940c0a0f796,0.8,0.2,3,0.1994,-0.0021577842152455725,0.0,0.25,0.7291275284296929,0.992773635643641,1.3842926171130718,0
4,independent,0.975,1701,device_0,0,3f411437569c4b42aa9d50c37cf6532d8b09d821140731f4a3a4bbda9b9afe42,0.020000000000000018,0.0050000000000000044,0,0.1992,0.9789949792069076,0.975,0.25,0.7297677047866288,1.0022097642465506,1.3797206872333794,0
4,independent,0.975,1701,device_1,1,ffbaef91fdfa40fe8e421c63b89d66f9d87d680469f519a890e4f39b61963dea,0.020000000000000018,0.0050000000000000044,1,0.1964,0.9645172533100475,0.975,0.25,0.7232352031192512,0.9998033596181531,1.3786522980586606,0
4,independent,0.975,1701,device_2,2,749997a93fbd07c191fd4dd5364e64f8325c99015cb84c56b3d5cf4c5af53eaa,0.020000000000000018,0.0050000000000000044,2,0.1917,0.9770844960229454,0.975,0.25,0.7287616511100039,0.9981786962930879,1.3669042058736065,1
4,independent,0.975,1701,device_3,3,bd37d989e3b1ca1dfc65987fc631e02d18beda79d361a720852c863d70bb9c20,0.020000000000000018,0.0050000000000000044,3,0.1938,0.9753532964740108,0.975,0.25,0.7255845004024614,1.0044607475119336,1.3779567186671653,1
4,independent,0.975,1702,device_0,0,04084b22d4e789c7d5d86a2c0afa9dc3313fab39ddf2fe7b24d8d7d355b82bad,0.020000000000000018,0.0050000000000000044,0,0.1959,0.9765108226097688,0.975,0.25,0.7223342985127764,0.9988868051726555,1.3788322337666339,8
4,independent,0.975,1702,device_1,1,a74722e3c8e46a4201263908b7399cf9426a5269f8e59672caa441f44dafab64,0.020000000000000018,0.0050000000000000044,1,0.1964,0.9759131539250144,0.975,0.25,0.7294909690803126,1.0060854992617447,1.3788887736353899,2
4,independent,0.975,1702,device_2,2,0944d81e1110d1d5ae51f7342fdaa60f6a6ca11ff3d68cbe534671479ce3d87e,0.020000000000000018,0.0050000000000000044,2,0.2027,0.9740112841912655,0.975,0.25,0.7282016141213391,1.001366750133196,1.3669331711480066,2
4,independent,0.975,1702,device_3,3,ba8e3477bb050776f5e482941fcc78d542b3c50365a7a389d08c2b7e6fb6c3c9,0.020000000000000018,0.0050000000000000044,3,0.2082,0.9760343972479407,0.975,0.25,0.7264119627596505,1.0040752606614787,1.37940634639989,0
4,common,0.0,1701,device_0,0,92cf0b2e17979e08f2350152726a5b742bbb4fdb8cfe51e23918a21f1ae8c9a9,0.8,0.2,0,0.2041,-0.005175586574489375,0.0,0.25,0.7228039729679671,1.001459252906029,1.3765291291613604,0
4,common,0.0,1701,device_1,1,92cf0b2e17979e08f2350152726a5b742bbb4fdb8cfe51e23918a21f1ae8c9a9,0.8,0.2,0,0.2041,-0.005175586574489375,0.0,0.25,0.7228039729679671,1.001459252906029,1.3765291291613604,0
4,common,0.0,1701,device_2,2,92cf0b2e17979e08f2350152726a5b742bbb4fdb8cfe51e23918a21f1ae8c9a9,0.8,0.2,0,0.2041,-0.005175586574489375,0.0,0.25,0.7228039729679671,1.001459252906029,1.3765291291613604,0
4,common,0.0,1701,device_3,3,92cf0b2e17979e08f2350152726a5b742bbb4fdb8cfe51e23918a21f1ae8c9a9,0.8,0.2,0,0.2041,-0.005175586574489375,0.0,0.25,0.7228039729679671,1.001459252906029,1.3765291291613604,0
4,common,0.0,1702,device_0,0,ca3f85a7a16f8b33bbb9e42d5c7346f58e31b060f56bbe6419ebbec63c49ecfb,0.8,0.2,0,0.2044,-0.0003880774600071656,0.0,0.25,0.7272171318666795,0.9977683825918804,1.3791519758171793,0
4,common,0.0,1702,device_1,1,ca3f85a7a16f8b33bbb9e42d5c7346f58e31b060f56bbe6419ebbec63c49ecfb,0.8,0.2,0,0.2044,-0.0003880774600071656,0.0,0.25,0.7272171318666795,0.9977683825918804,1.3791519758171793,0
4,common,0.0,1702,device_2,2,ca3f85a7a16f8b33bbb9e42d5c7346f58e31b060f56bbe6419ebbec63c49ecfb,0.8,0.2,0,0.2044,-0.0003880774600071656,0.0,0.25,0.7272171318666795,0.9977683825918804,1.3791519758171793,0
4,common,0.0,1702,device_3,3,ca3f85a7a16f8b33bbb9e42d5c7346f58e31b060f56bbe6419ebbec63c49ecfb,0.8,0.2,0,0.2044,-0.0003880774600071656,0.0,0.25,0.7272171318666795,0.9977683825918804,1.3791519758171793,0
4,common,0.975,1701,device_0,0,3f411437569c4b42aa9d50c37cf6532d8b09d821140731f4a3a4bbda9b9afe42,0.020000000000000018,0.0050000000000000044,0,0.1992,0.9789949792069076,0.975,0.25,0.7297677047866288,1.0022097642465506,1.3797206872333794,0
4,common,0.975,1701,device_1,1,3f411437569c4b42aa9d50c37cf6532d8b09d821140731f4a3a4bbda9b9afe42,0.020000000000000018,0.0050000000000000044,0,0.1992,0.9789949792069076,0.975,0.25,0.7297677047866288,1.0022097642465506,1.3797206872333794,0
4,common,0.975,1701,device_2,2,3f411437569c4b42aa9d50c37cf6532d8b09d821140731f4a3a4bbda9b9afe42,0.020000000000000018,0.0050000000000000044,0,0.1992,0.9789949792069076,0.975,0.25,0.7297677047866288,1.0022097642465506,1.3797206872333794,0
4,common,0.975,1701,device_3,3,3f411437569c4b42aa9d50c37cf6532d8b09d821140731f4a3a4bbda9b9afe42,0.020000000000000018,0.0050000000000000044,0,0.1992,0.9789949792069076,0.975,0.25,0.7297677047866288,1.0022097642465506,1.3797206872333794,0
4,common,0.975,1702,device_0,0,04084b22d4e789c7d5d86a2c0afa9dc3313fab39ddf2fe7b24d8d7d355b82bad,0.020000000000000018,0.0050000000000000044,0,0.1959,0.9765108226097688,0.975,0.25,0.7223342985127764,0.9988868051726555,1.3788322337666339,8
4,common,0.975,1702,device_1,1,04084b22d4e789c7d5d86a2c0afa9dc3313fab39ddf2fe7b24d8d7d355b82bad,0.020000000000000018,0.0050000000000000044,0,0.1959,0.9765108226097688,0.975,0.25,0.7223342985127764,0.9988868051726555,1.3788322337666339,8
4,common,0.975,1702,device_2,2,04084b22d4e789c7d5d86a2c0afa9dc3313fab39ddf2fe7b24d8d7d355b82bad,0.020000000000000018,0.0050000000000000044,0,0.1959,0.9765108226097688,0.975,0.25,0.7223342985127764,0.9988868051726555,1.3788322337666339,8
4,common,0.975,1702,device_3,3,04084b22d4e789c7d5d86a2c0afa9dc3313fab39ddf2fe7b24d8d7d355b82bad,0.020000000000000018,0.0050000000000000044,0,0.1959,0.9765108226097688,0.975,0.25,0.7223342985127764,0.9988868051726555,1.3788322337666339,8
