N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,check,passed,detail,severity
2.0,independent,0.75,1702.0,1.2,53.988,44.99,0.05,drop,J1_violation_sets_equal_I1,True,per-device violation arrays compared exactly,required
2.0,independent,0.75,1702.0,1.2,53.988,44.99,0.05,drop,decomposition_total_identity,True,error_pp=-3.552713678800501e-15,required
2.0,independent,0.75,1702.0,1.2,53.988,44.99,0.05,drop,J2_repair_or_guard_feasible,True,source=heuristic repair_success=True,required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,energy_J2_le_I2,True,"{""I1"": 0.22970030692972213, ""I2"": 0.20711043266156065, ""J1"": 0.1886616588986333, ""J2"": 0.16918507750662276}",required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,energy_J2_le_J1,True,"{""I1"": 0.22970030692972213, ""I2"": 0.20711043266156065, ""J1"": 0.1886616588986333, ""J2"": 0.16918507750662276}",required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,energy_J1_le_I1,True,"{""I1"": 0.22970030692972213, ""I2"": 0.20711043266156065, ""J1"": 0.1886616588986333, ""J2"": 0.16918507750662276}",required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,energy_I2_le_I1,True,"{""I1"": 0.22970030692972213, ""I2"": 0.20711043266156065, ""J1"": 0.1886616588986333, ""J2"": 0.16918507750662276}",required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,capacity_I1_within_one,True,max=1,required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,budget_I1_device_0,True,count=233 budget=500,required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,budget_I1_device_1,True,count=194 budget=500,required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,capacity_J1_within_one,True,max=1,required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,budget_J1_device_0,True,count=233 budget=500,required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,budget_J1_device_1,True,count=194 budget=500,required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,capacity_I2_within_one,True,max=1,required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,budget_I2_device_0,True,count=500 budget=500,required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,budget_I2_device_1,True,count=500 budget=500,required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,capacity_J2_within_one,True,max=1,required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,budget_J2_device_0,True,count=350 budget=500,required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,budget_J2_device_1,True,count=467 budget=500,required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,J1_violation_sets_equal_I1,True,per-device violation arrays compared exactly,required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,decomposition_total_identity,True,error_pp=-5.329070518200751e-15,required
2.0,independent,0.75,1703.0,1.2,53.988,44.99,0.05,drop,J2_repair_or_guard_feasible,True,source=heuristic repair_success=True,required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,energy_J2_le_I2,True,"{""I1"": 0.22810278058722946, ""I2"": 0.2065340504664925, ""J1"": 0.18536165240094382, ""J2"": 0.16395887285305624}",required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,energy_J2_le_J1,True,"{""I1"": 0.22810278058722946, ""I2"": 0.2065340504664925, ""J1"": 0.18536165240094382, ""J2"": 0.16395887285305624}",required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,energy_J1_le_I1,True,"{""I1"": 0.22810278058722946, ""I2"": 0.2065340504664925, ""J1"": 0.18536165240094382, ""J2"": 0.16395887285305624}",required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,energy_I2_le_I1,True,"{""I1"": 0.22810278058722946, ""I2"": 0.2065340504664925, ""J1"": 0.18536165240094382, ""J2"": 0.16395887285305624}",required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,capacity_I1_within_one,True,max=1,required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,budget_I1_device_0,True,count=225 budget=500,required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,budget_I1_device_1,True,count=228 budget=500,required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,capacity_J1_within_one,True,max=1,required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,budget_J1_device_0,True,count=225 budget=500,required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,budget_J1_device_1,True,count=228 budget=500,required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,capacity_I2_within_one,True,max=1,required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,budget_I2_device_0,True,count=500 budget=500,required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,budget_I2_device_1,True,count=500 budget=500,required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,capacity_J2_within_one,True,max=1,required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,budget_J2_device_0,True,count=500 budget=500,required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,budget_J2_device_1,True,count=500 budget=500,required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,J1_violation_sets_equal_I1,True,per-device violation arrays compared exactly,required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,decomposition_total_identity,True,error_pp=-1.7763568394002505e-15,required
2.0,independent,0.975,1701.0,1.2,53.988,44.99,0.05,drop,J2_repair_or_guard_feasible,True,source=heuristic repair_success=True,required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,energy_J2_le_I2,True,"{""I1"": 0.22501015812701095, ""I2"": 0.20311980086205828, ""J1"": 0.1852767700805108, ""J2"": 0.16481460697700437}",required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,energy_J2_le_J1,True,"{""I1"": 0.22501015812701095, ""I2"": 0.20311980086205828, ""J1"": 0.1852767700805108, ""J2"": 0.16481460697700437}",required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,energy_J1_le_I1,True,"{""I1"": 0.22501015812701095, ""I2"": 0.20311980086205828, ""J1"": 0.1852767700805108, ""J2"": 0.16481460697700437}",required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,energy_I2_le_I1,True,"{""I1"": 0.22501015812701095, ""I2"": 0.20311980086205828, ""J1"": 0.1852767700805108, ""J2"": 0.16481460697700437}",required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,capacity_I1_within_one,True,max=1,required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,budget_I1_device_0,True,count=243 budget=500,required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,budget_I1_device_1,True,count=202 budget=500,required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,capacity_J1_within_one,True,max=1,required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,budget_J1_device_0,True,count=243 budget=500,required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,budget_J1_device_1,True,count=202 budget=500,required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,capacity_I2_within_one,True,max=1,required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,budget_I2_device_0,True,count=500 budget=500,required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,budget_I2_device_1,True,count=500 budget=500,required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,capacity_J2_within_one,True,max=1,required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,budget_J2_device_0,True,count=500 budget=500,required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,budget_J2_device_1,True,count=500 budget=500,required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,J1_violation_sets_equal_I1,True,per-device violation arrays compared exactly,required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,decomposition_total_identity,True,error_pp=0.0,required
2.0,independent,0.975,1702.0,1.2,53.988,44.99,0.05,drop,J2_repair_or_guard_feasible,True,source=heuristic repair_success=True,required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,energy_J2_le_I2,True,"{""I1"": 0.22590134723834454, ""I2"": 0.20291654719032054, ""J1"": 0.1842186529607235, ""J2"": 0.16879150192406925}",required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,energy_J2_le_J1,True,"{""I1"": 0.22590134723834454, ""I2"": 0.20291654719032054, ""J1"": 0.1842186529607235, ""J2"": 0.16879150192406925}",required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,energy_J1_le_I1,True,"{""I1"": 0.22590134723834454, ""I2"": 0.20291654719032054, ""J1"": 0.1842186529607235, ""J2"": 0.16879150192406925}",required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,energy_I2_le_I1,True,"{""I1"": 0.22590134723834454, ""I2"": 0.20291654719032054, ""J1"": 0.1842186529607235, ""J2"": 0.16879150192406925}",required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,capacity_I1_within_one,True,max=1,required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,budget_I1_device_0,True,count=207 budget=500,required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,budget_I1_device_1,True,count=210 budget=500,required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,capacity_J1_within_one,True,max=1,required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,budget_J1_device_0,True,count=207 budget=500,required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,budget_J1_device_1,True,count=210 budget=500,required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,capacity_I2_within_one,True,max=1,required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,budget_I2_device_0,True,count=500 budget=500,required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,budget_I2_device_1,True,count=500 budget=500,required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,capacity_J2_within_one,True,max=1,required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,budget_J2_device_0,True,count=315 budget=500,required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,budget_J2_device_1,True,count=409 budget=500,required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,J1_violation_sets_equal_I1,True,per-device violation arrays compared exactly,required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,decomposition_total_identity,True,error_pp=-1.7763568394002505e-15,required
2.0,independent,0.975,1703.0,1.2,53.988,44.99,0.05,drop,J2_repair_or_guard_feasible,True,source=heuristic repair_success=True,required
