N,channel_sync,rho,seed,device,device_index,trace_sha256,p_bg,p_gb,device_index_entropy,pi_bad_observed,lag1_autocorr,lag1_autocorr_theory,rate_jitter_sigma_log,rate_jitter_p10,rate_jitter_p50,rate_jitter_p90,resample_attempt
4,common,0.0,1701,device_2,2,92cf0b2e17979e08f2350152726a5b742bbb4fdb8cfe51e23918a21f1ae8c9a9,0.8,0.2,0,0.2041,-0.005175586574489375,0.0,0.25,0.7228039729679671,1.001459252906029,1.3765291291613604,0
4,common,0.0,1701,device_3,3,92cf0b2e17979e08f2350152726a5b742bbb4fdb8cfe51e23918a21f1ae8c9a9,0.8,0.2,0,0.2041,-0.005175586574489375,0.0,0.25,0.7228039729679671,1.001459252906029,1.3765291291613604,0
4,common,0.0,1702,device_0,0,ca3f85a7a16f8b33bbb9e42d5c7346f58e31b060f56bbe6419ebbec63c49ecfb,0.8,0.2,0,0.2044,-0.0003880774600071656,0.0,0.25,0.7272171318666795,0.9977683825918804,1.3791519758171793,0
4,common,0.0,1702,device_1,1,ca3f85a7a16f8b33bbb9e42d5c7346f58e31b060f56bbe6419ebbec63c49ecfb,0.8,0.2,0,0.2044,-0.0003880774600071656,0.0,0.25,0.7272171318666795,0.9977683825918804,1.3791519758171793,0
4,common,0.0,1702,device_2,2,ca3f85a7a16f8b33bbb9e42d5c7346f58e31b060f56bbe6419ebbec63c49ecfb,0.8,0.2,0,0.2044,-0.0003880774600071656,0.0,0.25,0.7272171318666795,0.9977683825918804,1.3791519758171793,0
4,common,0.0,1702,device_3,3,ca3f85a7a16f8b33bbb9e42d5c7346f58e31b060f56bbe6419ebbec63c49ecfb,0.8,0.2,0,0.2044,-0.0003880774600071656,0.0,0.25,0.7272171318666795,0.9977683825918804,1.3791519758171793,0
4,common,0.0,1703,device_0,0,c56937f4997419338f8c9cdda735c777da44d445c46c2ba6269c577b1eb41cc0,0.8,0.2,0,0.1985,-0.001800151244794757,0.0,0.25,0.7258312785051446,1.0068436339778941,1.3775017218765948,0
4,common,0.0,1703,device_1,1,c56937f4997419338f8c9cdda735c777da44d445c46c2ba6269c577b1eb41cc0,0.8,0.2,0,0.1985,-0.001800151244794757,0.0,0.25,0.7258312785051446,1.0068436339778941,1.3775017218765948,0
4,common,0.0,1703,device_2,2,c56937f4997419338f8c9cdda735c777da44d445c46c2ba6269c577b1eb41cc0,0.8,0.2,0,0.1985,-0.001800151244794757,0.0,0.25,0.7258312785051446,1.0068436339778941,1.3775017218765948,0
4,common,0.0,1703,device_3,3,c56937f4997419338f8c9cdda735c777da44d445c46c2ba6269c577b1eb41cc0,0.8,0.2,0,0.1985,-0.001800151244794757,0.0,0.25,0.7258312785051446,1.0068436339778941,1.3775017218765948,0
4,common,0.75,1701,device_0,0,8bfed79f09ed4f547dfe3a02b672ac0480e06a5b8b6b429cf2398ebc3188fcf8,0.2,0.05,0,0.2038,0.7377209806197738,0.75,0.25,0.724365430548855,0.9980333308591841,1.3693732953829598,0
4,common,0.75,1701,device_1,1,8bfed79f09ed4f547dfe3a02b672ac0480e06a5b8b6b429cf2398ebc3188fcf8,0.2,0.05,0,0.2038,0.7377209806197738,0.75,0.25,0.724365430548855,0.9980333308591841,1.3693732953829598,0
4,common,0.75,1701,device_2,2,8bfed79f09ed4f547dfe3a02b672ac0480e06a5b8b6b429cf2398ebc3188fcf8,0.2,0.05,0,0.2038,0.7377209806197738,0.75,0.25,0.724365430548855,0.9980333308591841,1.3693732953829598,0
4,common,0.75,1701,device_3,3,8bfed79f09ed4f547dfe3a02b672ac0480e06a5b8b6b429cf2398ebc3188fcf8,0.2,0.05,0,0.2038,0.7377209806197738,0.75,0.25,0.724365430548855,0.9980333308591841,1.3693732953829598,0
4,common,0.75,1702,device_0,0,3631ca9453b62362570d3fd0dee38a7cda67a62314f882530b961abfd5fcc4ad,0.2,0.05,0,0.2084,0.7526749545009777,0.75,0.25,0.7223537409034041,0.9975166111990028,1.3669650641560984,0
4,common,0.75,1702,device_1,1,3631ca9453b62362570d3fd0dee38a7cda67a62314f882530b961abfd5fcc4ad,0.2,0.05,0,0.2084,0.7526749545009777,0.75,0.25,0.7223537409034041,0.9975166111990028,1.3669650641560984,0
4,common,0.75,1702,device_2,2,3631ca9453b62362570d3fd0dee38a7cda67a62314f882530b961abfd5fcc4ad,0.2,0.05,0,0.2084,0.7526749545009777,0.75,0.25,0.7223537409034041,0.9975166111990028,1.3669650641560984,0
4,common,0.75,1702,device_3,3,3631ca9453b62362570d3fd0dee38a7cda67a62314f882530b961abfd5fcc4ad,0.2,0.05,0,0.2084,0.7526749545009777,0.75,0.25,0.7223537409034041,0.9975166111990028,1.3669650641560984,0
4,common,0.75,1703,device_0,0,213eaabf02e4cdabe508eb9f44e471f92ab1273c0d53d4b6f6edd50c1d322654,0.2,0.05,0,0.2091,0.7538894198635822,0.75,0.25,0.7254085610588458,1.0024281924833711,1.384315087684925,0
4,common,0.75,1703,device_1,1,213eaabf02e4cdabe508eb9f44e471f92ab1273c0d53d4b6f6edd50c1d322654,0.2,0.05,0,0.2091,0.7538894198635822,0.75,0.25,0.7254085610588458,1.0024281924833711,1.384315087684925,0
