N,channel_sync,rho,deadline_ratio,epsilon,skip_mode,device,device_index,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_run_count_mean,violation_run_count_std,violation_state_bad_share_mean,violation_state_bad_share_std,boost_use_rate_mean,boost_use_rate_std,allocation_mean_mean,allocation_mean_std,allocation_max_mean,allocation_max_std,allocation_nonzero_rate_mean,allocation_nonzero_rate_std
2,common,0.0,1.2,0.05,drop,device_0,0,I1,0.11525134668610992,0.0014224927630972087,0.021433333333333332,0.00015275252316519544,2.0,0.0,4.333333333333333,1.5275252316519465,210.0,1.0,1.0,0.0,0.1563,0.002946183972531239,0.48928333333333335,7.637626158258892e-05,0.5,0.0,0.9785666666666667,0.00015275252316517785
2,common,0.0,1.2,0.05,drop,device_0,0,I2,0.10398450383675806,0.001461766033906681,0.05000000000000001,0.0,3.0,0.0,25.666666666666668,5.507570547286103,472.3333333333333,5.507570547286109,1.0,0.0,0.12773333333333334,0.003059956426705016,0.4749999999999999,0.0,0.5,0.0,0.9499999999999998,0.0
2,common,0.0,1.2,0.05,drop,device_0,0,J1,0.10361257312229499,0.001067247680092789,0.021433333333333332,0.00015275252316519544,2.0,0.0,4.333333333333333,1.5275252316519465,210.0,1.0,1.0,0.0,0.12430000000000001,0.0015394804318340574,0.3989401666666667,0.0009955328137903265,0.655,0.0,0.9785666666666667,0.00015275252316517785
2,common,0.0,1.2,0.05,drop,device_0,0,J2,0.08710480198521774,0.0020203859940955506,0.045500000000000006,0.007794228634059953,2.6666666666666665,0.5773502691896258,18.0,5.0,436.0,72.77362159464101,1.0,0.0,0.06823333333333333,0.008372773335838812,0.4045271666666667,0.008836519313809781,0.9966666666666667,0.005773502691896279,0.9545,0.007794228634059995
2,common,0.0,1.2,0.05,drop,device_1,1,I1,0.11525134668610992,0.0014224927630972087,0.021433333333333332,0.00015275252316519544,2.0,0.0,4.333333333333333,1.5275252316519465,210.0,1.0,1.0,0.0,0.1563,0.002946183972531239,0.48928333333333335,7.637626158258892e-05,0.5,0.0,0.9785666666666667,0.00015275252316517785
2,common,0.0,1.2,0.05,drop,device_1,1,I2,0.10398450383675806,0.001461766033906681,0.05000000000000001,0.0,3.0,0.0,25.666666666666668,5.507570547286103,472.3333333333333,5.507570547286109,1.0,0.0,0.12773333333333334,0.003059956426705016,0.4749999999999999,0.0,0.5,0.0,0.9499999999999998,0.0
2,common,0.0,1.2,0.05,drop,device_1,1,J1,0.10346279946085178,0.001320992479223535,0.021433333333333332,0.00015275252316519544,2.0,0.0,4.333333333333333,1.5275252316519465,210.0,1.0,1.0,0.0,0.124,0.0040261644278394735,0.399275,0.0008770876524042726,0.655,0.0,0.9785666666666667,0.00015275252316517785
2,common,0.0,1.2,0.05,drop,device_1,1,J2,0.08748908947714677,0.0018314681294257017,0.05000000000000001,0.0,2.6666666666666665,0.5773502691896258,24.666666666666668,1.1547005383792517,474.3333333333333,2.081665999466135,1.0,0.0,0.07346666666666667,0.005254839039716946,0.3990821666666667,0.000642443836715156,0.9933333333333333,0.005773502691896279,0.9499999999999998,0.0
2,common,0.0,1.2,0.05,late,device_0,0,I1,0.11900838826278061,0.001446877716881137,0.021433333333333332,0.00015275252316519544,2.0,0.0,4.333333333333333,1.5275252316519465,210.0,1.0,1.0,0.0,0.1563,0.002946183972531239,0.48928333333333335,7.637626158258892e-05,0.5,0.0,0.9785666666666667,0.00015275252316517785
2,common,0.0,1.2,0.05,late,device_0,0,I2,0.11082285650408986,0.0014839006794685606,0.05000000000000001,0.0,2.6666666666666665,0.5773502691896258,23.666666666666668,1.154700538379251,475.6666666666667,1.5275252316519545,1.0,0.0,0.12773333333333334,0.003059956426705016,0.4749999999999999,0.0,0.5,0.0,0.9499999999999998,0.0
