N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,sha256
2,common,0.75,1704,1.2,53.988,44.99,0.05,drop,0c7458d50191b00fb9cd51fd5f7f2ad94608f87611c1b11af07201d8b7dccda3
2,common,0.75,1705,1.2,53.988,44.99,0.05,drop,597af296fa4b8cdf62d4a372850a5b8097e097c9488599dea4eb42b3a72632e0
2,common,0.75,1706,1.2,53.988,44.99,0.05,drop,e1ed4addc85200f545ac4defda520ef882f796362fac624280f7993a524e02bc
2,common,0.75,1707,1.2,53.988,44.99,0.05,drop,01cf69e9e38b5cd8bd12af50dddd240368b4d6bdad330ec38334171751d9fb6e
2,common,0.75,1708,1.2,53.988,44.99,0.05,drop,6996ce26e3862195311ff06515b8a1992275fd0d0abefe27ef58c7e72bbbaf2b
2,common,0.75,1709,1.2,53.988,44.99,0.05,drop,6bec6bc270dd34d6c6e092cca9235cbb14c494cee1a8b72418669ea9a8f822e8
2,common,0.75,1710,1.2,53.988,44.99,0.05,drop,8c4f8d111e3aa55bf8c60bb532d972d482000a1a6fb32095568943cb0136a4ee
2,common,0.975,1701,1.2,53.988,44.99,0.05,drop,25b15c68059eac2a50c54a46c42040558e1cbe26633e5def22eedc445083d3ec
2,common,0.975,1702,1.2,53.988,44.99,0.05,drop,d721784d0dab80b250efb94add920643a86db502363ee31fc4a98d071db81c47
2,common,0.975,1703,1.2,53.988,44.99,0.05,drop,4faddb11b200940e8cc5f539da682db159054150ec70c50cb0bf745fdaa132f1
2,common,0.975,1704,1.2,53.988,44.99,0.05,drop,27de29ca5ffbad9475290ed3a24f0910eebc7833ddd44c7f138f2caadb408d77
2,common,0.975,1705,1.2,53.988,44.99,0.05,drop,e7a1f07cfd81bc431a49e6dd25199b351b35410607561a3404f53866c97a7dcb
2,common,0.975,1706,1.2,53.988,44.99,0.05,drop,ba19d98482edbf8377489c3511b7e3d63d234586ceadf83c73fc1a5be294b0b5
2,common,0.975,1707,1.2,53.988,44.99,0.05,drop,c2d9816a6112a714b0a35450d1fad076890da3c99c07eb88e4488b327cf8e5f3
2,common,0.975,1708,1.2,53.988,44.99,0.05,drop,14d5e73ee475ef0e16093ba3bd2afb196c4c7c623d3fe2eb3dd6b5e453ee3f1f
2,common,0.975,1709,1.2,53.988,44.99,0.05,drop,723f227bdd19df09538513f0f55244818e574731e00fc5bdcdbdec9f773e3655
2,common,0.975,1710,1.2,53.988,44.99,0.05,drop,58bb13c9da368a81b7187b08f5a2b992651a2990dc0e5e42a05a9b1d2b3fd1af
2,independent,0.0,1701,1.2,53.988,44.99,0.05,late,5176f54d4de6302b499deb88adea03e32128dc24e504bbe7b181534cce0967e0
2,independent,0.0,1702,1.2,53.988,44.99,0.05,late,b7d720b8cc7d1cf365a8ec57ad3b5a9dd26ba576b4230cfcb09c3cac15f628f1
2,independent,0.0,1703,1.2,53.988,44.99,0.05,late,c542e553a879e0acca7ef67d05aedb004ee8637932d367d4eb5f68a97d4a6d1f
2,independent,0.0,1704,1.2,53.988,44.99,0.05,late,0b3371b4cb00da093e4c9e1e19a3623d6cd19fcf34b0a29ec667c7f528e7ee4b
2,independent,0.0,1705,1.2,53.988,44.99,0.05,late,a331230f0552f2da186797d58e1f0a80cd70fc0c43138d6367a62c0e12dc352a
2,independent,0.0,1706,1.2,53.988,44.99,0.05,late,031294aeb2b38449d776315b3b1f3ff6770219fd1918819f0e32231ee3be273c
2,independent,0.0,1707,1.2,53.988,44.99,0.05,late,20fdf32a9f5b15ab42751b1452a035b55b2542ddf1faaaae6793158bf521c03d
2,independent,0.0,1708,1.2,53.988,44.99,0.05,late,4db6914b1acd0db7e7a29faf998984af891b4474659d87dcfbdb0320592c2bfd
2,independent,0.0,1709,1.2,53.988,44.99,0.05,late,1b219547650173c19ef828a9b788819e51d3f6381c0886aa51aead225b2b7028
2,independent,0.0,1710,1.2,53.988,44.99,0.05,late,dfe0c019a7a883c6aa0b11df881eb51d8d7a99ec957707e41b6445f7e269dcd1
2,independent,0.75,1701,1.2,53.988,44.99,0.05,late,d2470fee94cf165adca1134f31c6ea925d78347dc819e54b4e0ea0364c732bbc
2,independent,0.75,1702,1.2,53.988,44.99,0.05,late,9c4a762b52526205e9b07545452823cb3385aded603d3056b9ad9b1c3153c25b
2,independent,0.75,1703,1.2,53.988,44.99,0.05,late,28e2b924cd0272071f013e09bc18f244607f6bae7429e2d0ce241167df69cae1
2,independent,0.75,1704,1.2,53.988,44.99,0.05,late,5d148fe46df816511fd339b508a1f886dd006298d549bce0fd831a7f1c3fef27
2,independent,0.75,1705,1.2,53.988,44.99,0.05,late,c81947fdbb45a6f003d200b0169f91771a3f95a81b1c75fa1239b45bed9e2146
2,independent,0.75,1706,1.2,53.988,44.99,0.05,late,8402024a7f3ded9bd00bba12fc62e4fc49de7a2578ae4dfdf8c3c056c0087e5a
2,independent,0.75,1707,1.2,53.988,44.99,0.05,late,3fd210ee22afe06e39c7291621b753b7047d7f47ce3273c26b7bf64fbeb2c491
2,independent,0.75,1708,1.2,53.988,44.99,0.05,late,1f0cc57930e2c4d86604b081ada098c6082031978782958506760152e82dfa7a
2,independent,0.75,1709,1.2,53.988,44.99,0.05,late,0b8df97c797f11788e4288e70980e2651af63f8976eada06f192f7c237cfa020
2,independent,0.75,1710,1.2,53.988,44.99,0.05,late,5b9116dd33ab674e9cd14978376015151a456859b98d2d2caa3d5806690dd4af
2,independent,0.975,1701,1.2,53.988,44.99,0.05,late,ef29250f316b35572249ba931f49cc383d0acf4a309ace9bf8bb101848cfb799
2,independent,0.975,1702,1.2,53.988,44.99,0.05,late,74e3af33ce4d73c461f202d90eb0307bc45a394d1875b4d70cc9257998564189
2,independent,0.975,1703,1.2,53.988,44.99,0.05,late,77e57ac33ba28fd8452ed4b19cd25abb035f10adcfeff9a8fabfcc4051e4572e
2,independent,0.975,1704,1.2,53.988,44.99,0.05,late,24c10c51ae02c221cbe2595185c98694802ac50c33cc4f3fed7cdf3a4aeea301
2,independent,0.975,1705,1.2,53.988,44.99,0.05,late,e519f544f39b737516a3d5357d60caafd0af02dda662eef37b997f999e0ab340
2,independent,0.975,1706,1.2,53.988,44.99,0.05,late,fcb10a6473ddfe6e59c8e2453e418367ab7aaae9a6d579b6905b3314b213f28a
2,independent,0.975,1707,1.2,53.988,44.99,0.05,late,1dcac830b5275fab720edb491505880b6adc00400a6d2da466285ca8196b16a4
2,independent,0.975,1708,1.2,53.988,44.99,0.05,late,58c79a299afdf3d5cc4b867c07b990dcba651a49818e425d3405506e1455dd0e
2,independent,0.975,1709,1.2,53.988,44.99,0.05,late,4c9e984b1aa6a28173e0817ab2f271e32ca58ba95990394035cc24a20e124aae
2,independent,0.975,1710,1.2,53.988,44.99,0.05,late,f7692aaab5dccef73b6b3bfbb846635bb7248cbab47672d6ceb356b8431c6022
2,common,0.0,1701,1.2,53.988,44.99,0.05,late,f9cf37d1d34c17ec40396114dfea16c0219dc6a4f8d80b048b41817d8793a5b9
2,common,0.0,1702,1.2,53.988,44.99,0.05,late,718ad2cefdbd6b49cbb6fe2ef04abb6cd73fef7b3cf391cef5c3171176bc0c89
2,common,0.0,1703,1.2,53.988,44.99,0.05,late,da832811096f2129a4bd19466b3889179a57a6d16127e0a136d46815072ae4f5
2,common,0.0,1704,1.2,53.988,44.99,0.05,late,ed4388920869db0685e0b26557614482ae2bb5cd1f07183aed31da7548da451c
2,common,0.0,1705,1.2,53.988,44.99,0.05,late,4ab1207dcb52b4a063d5f4b1e106b01c61f106da0c6b5219414f558e5fda7ec1
2,common,0.0,1706,1.2,53.988,44.99,0.05,late,a59ab27ca0de708537a406033b334a350e47f18362ff8f92fa892492286e6eb1
2,common,0.0,1707,1.2,53.988,44.99,0.05,late,0746f4e4c50763fc52dccf321ab3901e626efdad08ddfe5b320ede7f1c5705be
2,common,0.0,1708,1.2,53.988,44.99,0.05,late,ca1b5ccffcb3229fb15ad2d89524799821328a070a20f034d1255283ff364a62
2,common,0.0,1709,1.2,53.988,44.99,0.05,late,69cb5d9d489230ad52d1033d2a5be4e179004ecf6fff68d46f01d1f1dc706549
2,common,0.0,1710,1.2,53.988,44.99,0.05,late,50980d140bfb66d87b7c4317473271790d4c62d6e4a5aa74fcb6e5788ca24786
2,common,0.75,1701,1.2,53.988,44.99,0.05,late,bfffdde7146eeef73046ab6c3bc913442854fa059fe2aa8515d621d437598590
2,common,0.75,1702,1.2,53.988,44.99,0.05,late,e7fd00a603a215fd4255d836b2874a26b4242d8bd12942f6e7e357ba60a09e47
2,common,0.75,1703,1.2,53.988,44.99,0.05,late,c9575d7d22599e119f628681d0fbdb5eb50c026c57d573f0377f1188886202de
2,common,0.75,1704,1.2,53.988,44.99,0.05,late,bdd69a4122c399141997ef23ca9487a459c1d838217744183bcbd0055d7427ee
2,common,0.75,1705,1.2,53.988,44.99,0.05,late,3ae5a612c68917f5a9075e156703729894ec834a355e29bef2a985d2cb3fb8d1
2,common,0.75,1706,1.2,53.988,44.99,0.05,late,f8e9c1147fdbc98d80220d9a9d981903e13174494901dcd9e3ecb684dcb9192e
2,common,0.75,1707,1.2,53.988,44.99,0.05,late,09b4d3ce545a6516c2fdf191b724c9965ae5f95aa7e6d9e02c314d6a235258df
2,common,0.75,1708,1.2,53.988,44.99,0.05,late,e696bf9e6eef62d36bc6396918c9d709caf37115e9745f95785b7a7b6f0d8da7
2,common,0.75,1709,1.2,53.988,44.99,0.05,late,5110cb2ab667e98383173eaa7e8001b3d78820cf0217597a90da63d2c5d063bb
2,common,0.75,1710,1.2,53.988,44.99,0.05,late,d453de4e5c4a4fa7ce040f4ee8c66707f76eb4ecb83087d9e55f6a70110f9f7d
2,common,0.975,1701,1.2,53.988,44.99,0.05,late,0543fb538c31d900ce65eed15cefe9bad11d2d281e7d14aa49605b86ae49c5bc
2,common,0.975,1702,1.2,53.988,44.99,0.05,late,29444f726104d0309065938963725874efcc29b99d488b4bad1de5ba04e2f4bd
2,common,0.975,1703,1.2,53.988,44.99,0.05,late,c3224705ea5756a82632a35a1c787395cde15fb8edca36c1b4b27c774298cb1a
2,common,0.975,1704,1.2,53.988,44.99,0.05,late,94d560051006f1c009b92a52cf935f037e5494aa6db2634cd71529b0fba006a9
2,common,0.975,1705,1.2,53.988,44.99,0.05,late,444b3290287a8ded1baee1d5b4ab91b026c9c0061cdce8547b344a3901d2478d
2,common,0.975,1706,1.2,53.988,44.99,0.05,late,979c9206ff5a1df14d86d5d5c5cffd627410275a56f0ff5f094992e51166c0a4
2,common,0.975,1707,1.2,53.988,44.99,0.05,late,6dd7bb15deb4fc6720f3eb7e4da107f21328f2060510a2786ee754416b62963b
