device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,policy,interval_low_inclusive,interval_high_exclusive,count,fraction
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,1,2,213,0.14209472981987992
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,2,3,195,0.13008672448298866
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,3,5,287,0.1914609739826551
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,5,10,468,0.3122081387591728
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,10,20,258,0.17211474316210806
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,20,50,78,0.05203468979319546
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,50,100,0,0.0
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,100,250,0,0.0
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,250,500,0,0.0
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,500,inf,0,0.0
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,1,2,170,0.11318242343541944
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,2,3,167,0.11118508655126498
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,3,5,262,0.1744340878828229
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,5,10,544,0.3621837549933422
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,10,20,327,0.21770972037283623
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,20,50,32,0.02130492676431425
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,50,100,0,0.0
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,100,250,0,0.0
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,250,500,0,0.0
device_0,0.0,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,500,inf,0,0.0
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,1,2,232,0.15476984656437626
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,2,3,184,0.12274849899933289
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,3,5,303,0.2021347565043362
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,5,10,434,0.2895263509006004
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,10,20,271,0.180787191460974
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,20,50,75,0.05003335557038025
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,50,100,0,0.0
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,100,250,0,0.0
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,250,500,0,0.0
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,500,inf,0,0.0
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,1,2,184,0.12258494337108594
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,2,3,152,0.10126582278481013
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,3,5,254,0.1692205196535643
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,5,10,553,0.3684210526315789
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,10,20,331,0.22051965356429049
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,20,50,27,0.01798800799467022
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,50,100,0,0.0
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,100,250,0,0.0
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,250,500,0,0.0
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,500,inf,0,0.0
