device,epsilon,skip_mode,deadline_ratios_json,oracle_gap_percent_json,adjacent_abs_differences_percent_json,max_adjacent_abs_difference_percent,tolerance_percent,assessable,deadline_axis_active,warning
device_0,0.01,drop,"[1.5, 2.0]","[4.232591111896461, 2.9197341644090273]",[1.3128569474874339],1.3128569474874339,0.01,True,True,
device_0,0.01,late,"[1.5, 2.0]","[2.578902923554768, 0.9155085657839114]",[1.6633943577708568],1.6633943577708568,0.01,True,True,
device_0,0.05,drop,"[1.35, 1.5, 2.0]","[16.900307068019984, 24.02213159896517, 14.018406522305611]","[7.121824530945187, 10.00372507665956]",10.00372507665956,0.01,True,True,
device_0,0.05,late,"[1.35, 1.5, 2.0]","[11.29297972605759, 14.081054717523202, 4.252707340991928]","[2.7880749914656118, 9.828347376531273]",9.828347376531273,0.01,True,True,
device_0,0.1,drop,"[1.2, 1.35, 1.5, 2.0]","[21.844344325608024, 36.97788001959827, 34.904345128671444, 27.458105989392333]","[15.133535693990243, 2.0735348909268225, 7.446239139279111]",15.133535693990243,0.01,True,True,
device_0,0.1,late,"[1.2, 1.35, 1.5, 2.0]","[15.26743878506781, 24.114161513896235, 18.776423687078942, 7.99056042628699]","[8.846722728828425, 5.337737826817293, 10.785863260791952]",10.785863260791952,0.01,True,True,
device_0,0.15,drop,"[1.1, 1.2, 1.35, 1.5, 2.0]","[23.005367094983153, 38.144171001914955, 50.99678286021362, 45.53766343017394, 40.34192296938037]","[15.138803906931802, 12.852611858298665, 5.459119430039678, 5.195740460793573]",15.138803906931802,0.01,True,True,
device_0,0.15,late,"[1.1, 1.2, 1.35, 1.5, 2.0]","[16.372186335078812, 26.074070727550367, 32.30057340370172, 22.95494983743849, 10.816925959805628]","[9.701884392471555, 6.226502676151352, 9.345623566263228, 12.138023877632863]",12.138023877632863,0.01,True,True,
