device,rho,deadline_ratio,deadline_ms,epsilon,skip_mode,good_feasible,bad_feasible,good_feasible_points,bad_feasible_points,forced_violation_expected,valid,exclusion_reason
device_0,0.975,1.35,48.66075000000001,0.15,late,True,True,"[0, 5, 6, 7]",[6],0.008289961396080403,True,valid: expected forced-violation rate is below epsilon/2
device_0,0.975,1.5,54.0675,0.01,drop,True,True,"[0, 5, 6, 7]","[6, 7]",0.0017313254280474034,True,valid: expected forced-violation rate is below epsilon/2
device_0,0.975,1.5,54.0675,0.01,late,True,True,"[0, 5, 6, 7]","[6, 7]",0.0017313254280474034,True,valid: expected forced-violation rate is below epsilon/2
device_0,0.975,1.5,54.0675,0.05,drop,True,True,"[0, 5, 6, 7]","[6, 7]",0.0017313254280474034,True,valid: expected forced-violation rate is below epsilon/2
device_0,0.975,1.5,54.0675,0.05,late,True,True,"[0, 5, 6, 7]","[6, 7]",0.0017313254280474034,True,valid: expected forced-violation rate is below epsilon/2
device_0,0.975,1.5,54.0675,0.1,drop,True,True,"[0, 5, 6, 7]","[6, 7]",0.0017313254280474034,True,valid: expected forced-violation rate is below epsilon/2
device_0,0.975,1.5,54.0675,0.1,late,True,True,"[0, 5, 6, 7]","[6, 7]",0.0017313254280474034,True,valid: expected forced-violation rate is below epsilon/2
device_0,0.975,1.5,54.0675,0.15,drop,True,True,"[0, 5, 6, 7]","[6, 7]",0.0017313254280474034,True,valid: expected forced-violation rate is below epsilon/2
device_0,0.975,1.5,54.0675,0.15,late,True,True,"[0, 5, 6, 7]","[6, 7]",0.0017313254280474034,True,valid: expected forced-violation rate is below epsilon/2
device_0,0.975,2.0,72.09,0.01,drop,True,True,"[0, 4, 5, 6, 7]","[5, 6, 7]",0.0,True,valid: expected forced-violation rate is below epsilon/2
device_0,0.975,2.0,72.09,0.01,late,True,True,"[0, 4, 5, 6, 7]","[5, 6, 7]",0.0,True,valid: expected forced-violation rate is below epsilon/2
device_0,0.975,2.0,72.09,0.05,drop,True,True,"[0, 4, 5, 6, 7]","[5, 6, 7]",0.0,True,valid: expected forced-violation rate is below epsilon/2
device_0,0.975,2.0,72.09,0.05,late,True,True,"[0, 4, 5, 6, 7]","[5, 6, 7]",0.0,True,valid: expected forced-violation rate is below epsilon/2
device_0,0.975,2.0,72.09,0.1,drop,True,True,"[0, 4, 5, 6, 7]","[5, 6, 7]",0.0,True,valid: expected forced-violation rate is below epsilon/2
device_0,0.975,2.0,72.09,0.1,late,True,True,"[0, 4, 5, 6, 7]","[5, 6, 7]",0.0,True,valid: expected forced-violation rate is below epsilon/2
device_0,0.975,2.0,72.09,0.15,drop,True,True,"[0, 4, 5, 6, 7]","[5, 6, 7]",0.0,True,valid: expected forced-violation rate is below epsilon/2
device_0,0.975,2.0,72.09,0.15,late,True,True,"[0, 4, 5, 6, 7]","[5, 6, 7]",0.0,True,valid: expected forced-violation rate is below epsilon/2
