device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,check,passed,detail,severity
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,energy_P2_le_P2prime,True,0.104827121 <= 0.104907173,required
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,energy_P2prime_le_P3,True,0.104907173 <= 0.105774889,diagnostic
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,energy_P2_le_P0,True,0.104827121 <= 0.11919399,required
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,energy_P0_le_P1,True,0.11919399 <= 0.12412017,required
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,violation_P3_within_budget,True,0.1001 <= 0.105,required
device_0,0.0,1701.0,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,674.0,P1_equals_forced,True,0.0326 == 0.0326,required
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,energy_P2_le_P2prime,True,0.0729560053 <= 0.0730418994,required
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,energy_P2prime_le_P3,True,0.0730418994 <= 0.0749369904,diagnostic
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,energy_P2_le_P0,True,0.0729560053 <= 0.105040049,required
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,energy_P0_le_P1,True,0.105040049 <= 0.11860789,required
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,violation_P0_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,violation_P2_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,violation_P2prime_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,violation_P3_within_budget,True,0.1501 <= 0.155,required
device_0,0.0,1701.0,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,P1_equals_forced,True,0.0326 == 0.0326,required
device_0,0.0,1701.0,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,energy_P2_le_P2prime,True,0.0914006331 <= 0.0917516356,required
device_0,0.0,1701.0,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,energy_P2prime_le_P3,True,0.0917516356 <= 0.0941336565,diagnostic
device_0,0.0,1701.0,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,energy_P2_le_P0,True,0.0914006331 <= 0.115383261,required
device_0,0.0,1701.0,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,energy_P0_le_P1,True,0.115383261 <= 0.12412017,required
device_0,0.0,1701.0,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,violation_P0_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,violation_P2_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,violation_P2prime_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,violation_P3_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326.0,1174.0,P1_equals_forced,True,0.0326 == 0.0326,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,energy_P2_le_P2prime,True,0.0798141172 <= 0.0798230513,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,energy_P2prime_le_P3,True,0.0798230513 <= 0.0800376847,diagnostic
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,energy_P2_le_P0,True,0.0798141172 <= 0.0920887156,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,energy_P0_le_P1,True,0.0920887156 <= 0.0964296316,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,violation_P0_within_budget,True,0.05 <= 0.055,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,violation_P2_within_budget,True,0.05 <= 0.055,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,violation_P2prime_within_budget,True,0.05 <= 0.055,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,violation_P3_within_budget,True,0.05 <= 0.055,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,P1_equals_forced,True,0.008 == 0.008,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,energy_P2_le_P2prime,True,0.0866086083 <= 0.0866158556,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,energy_P2prime_le_P3,True,0.0866158556 <= 0.0871068693,diagnostic
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,energy_P2_le_P0,True,0.0866086083 <= 0.0960371439,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,energy_P0_le_P1,True,0.0960371439 <= 0.0978783955,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,violation_P0_within_budget,True,0.05 <= 0.055,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,violation_P2_within_budget,True,0.05 <= 0.055,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,violation_P2prime_within_budget,True,0.05 <= 0.055,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,violation_P3_within_budget,True,0.05 <= 0.055,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.05,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,420.0,P1_equals_forced,True,0.008 == 0.008,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,energy_P2_le_P2prime,True,0.0603137841 <= 0.060353071,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,energy_P2prime_le_P3,True,0.060353071 <= 0.0608971217,diagnostic
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,energy_P2_le_P0,True,0.0603137841 <= 0.0875635187,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,energy_P0_le_P1,True,0.0875635187 <= 0.0964296316,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,P1_equals_forced,True,0.008 == 0.008,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,energy_P2_le_P2prime,True,0.0740119707 <= 0.0741729566,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,energy_P2prime_le_P3,True,0.0741729566 <= 0.0743870347,diagnostic
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,energy_P2_le_P0,True,0.0740119707 <= 0.0938696822,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,energy_P0_le_P1,True,0.0938696822 <= 0.0978783955,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,920.0,P1_equals_forced,True,0.008 == 0.008,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,energy_P2_le_P2prime,True,0.0474137802 <= 0.0504297801,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,energy_P2prime_le_P3,False,0.0504297801 <= 0.0478871394,diagnostic
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,energy_P2_le_P0,True,0.0474137802 <= 0.0827620107,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,energy_P0_le_P1,True,0.0827620107 <= 0.0964296316,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,violation_P0_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,violation_P2_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,violation_P2prime_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,violation_P3_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,P1_equals_forced,True,0.008 == 0.008,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,energy_P2_le_P2prime,True,0.0664094141 <= 0.0686685912,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,energy_P2prime_le_P3,False,0.0686685912 <= 0.0667914907,diagnostic
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,energy_P2_le_P0,True,0.0664094141 <= 0.0918523879,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,energy_P0_le_P1,True,0.0918523879 <= 0.0978783955,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,violation_P0_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,violation_P2_within_budget,True,0.15 <= 0.155,required
