device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,sha256
device_0,0.0,1701,2.0,72.09,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,0,1000,7e58b66da85346bc14463563f5eef108059e5d327fdd8cd2d28750eddf4dced8
device_0,0.0,1701,2.0,72.09,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,0,1500,6c11f63361d70f76992eecee5daa0a3fd85230fcbe276f29e5f3effa736f3278
device_0,0.0,1701,2.0,72.09,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,0,1500,2bc80280a5be59c3e808744285ea020032c50f6d7582e189c18a6f8aa8cbac3e
device_0,0.0,1702,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,721,779,203678f8c10d69b8b60e67fae67a5000a8fbc42023e527a77febbb58df2ba742
device_0,0.0,1702,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,721,779,a2cd100a1a32698961a89c49391b447e1b0ce6fdcb660bb2bcccd19e9a504a6b
device_0,0.0,1702,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,325,675,4fd05ae447158c5bc961861aad72ddb979648e4506d53e5f15797250f238efbe
device_0,0.0,1702,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,325,675,00f852d32ba361d6f6fbc98d2fb2b6815ca864cfe6736215f26adb2089fffaa2
device_0,0.0,1702,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,325,1175,f7902eb417ed6a6cd4719a83f9392389997f70f8e29bbe056da4b79bc4156a8a
device_0,0.0,1702,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,325,1175,97f6581403c6e0584d743960b41a619e112f506d848c7339af7701ce8a164b03
device_0,0.0,1702,1.35,48.66075000000001,0.05,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,93,407,909f0c8ab9d3bc232202ffe153246a86cc230924809392311b274fb298db74f3
