device,rho,deadline_ratio,epsilon,skip_mode,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_state_bad_share_mean,violation_state_bad_share_std,boost_use_rate_mean,boost_use_rate_std,boost_use_rate_good_mean,boost_use_rate_good_std,boost_use_rate_bad_mean,boost_use_rate_bad_std,selected_v_mean,selected_v_std
device_0,0.0,1.35,0.1,drop,P2prime,0.060418440085259234,9.244587205256369e-05,0.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.02215,0.0010606601717798223,0.0,0.0,0.10844289424910661,0.005080322937631876,,
device_0,0.0,1.35,0.1,drop,P3,0.061488853031041915,0.0008368344198272073,0.1,0.0,4.0,1.4142135623730951,80.5,3.5355339059327378,0.977,0.014142135623730963,0.026250000000000002,0.0040305086527633194,0.0,0.0,0.12850879379759933,0.019599744533181904,55.0,63.63961030678928
device_0,0.0,1.35,0.1,late,P0,0.0939064340099543,5.197497638261102e-05,0.1,0.0,4.0,0.0,99.5,4.949747468305833,0.263,0.008485281374238578,0.10345,0.0007778174593051951,0.0,0.0,0.5064854437073266,0.003282133031872087,,
device_0,0.0,1.35,0.1,late,P1,0.09780372201275622,0.00010560423825307088,0.00865,0.0009192388155425111,1.0,0.0,0.0,0.0,1.0,0.0,0.1135,0.00014142135623731355,0.0,0.0,0.5556914946147997,0.00011525771853298299,,
device_0,0.0,1.35,0.1,late,P2,0.07406177449806436,7.043316513837382e-05,0.1,0.0,4.0,0.0,88.5,0.7071067811865476,1.0,0.0,0.02215,0.0010606601717798223,0.0,0.0,0.10844289424910661,0.005080322937631876,,
device_0,0.0,1.35,0.1,late,P2prime,0.07422510031849969,7.374239059096058e-05,0.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.02215,0.0010606601717798223,0.0,0.0,0.10844289424910661,0.005080322937631876,,
device_0,0.0,1.35,0.1,late,P3,0.07444364197870315,8.00547873642103e-05,0.1,0.0,4.5,0.7071067811865476,83.5,7.7781745930520225,0.991,0.0028284271247461927,0.0232,0.0009899494936611692,0.0,0.0,0.11358383567396743,0.004728786896106201,100.0,0.0
device_0,0.0,1.35,0.15,drop,P0,0.08301279363230238,0.0003546606489101621,0.15,0.0,5.0,0.0,187.0,21.213203435596427,0.23633333333333334,0.01084230397819374,0.099,0.0014142135623730963,0.0,0.0,0.4846967882479618,0.0064205329088677845,,
device_0,0.0,1.35,0.15,drop,P1,0.09623531831116619,0.0002748004705063804,0.00865,0.0009192388155425111,1.0,0.0,0.0,0.0,1.0,0.0,0.1135,0.00014142135623731355,0.0,0.0,0.5556914946147997,0.00011525771853298299,,
device_0,0.0,1.35,0.15,drop,P2,0.04731063715912924,0.0001458662869921732,0.15,0.0,4.5,0.7071067811865476,190.5,4.949747468305833,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
device_0,0.0,1.35,0.15,drop,P2prime,0.05044196072626013,1.7225992194931892e-05,0.15,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0135,0.0007071067811865482,0.0,0.0,0.06609370910042753,0.0033933228309275055,,
