device,rho,deadline_ratio,epsilon,skip_mode,discard_gain_percent_mean,discard_gain_percent_std,targeting_gain_percent_mean,targeting_gain_percent_std,oracle_gap_percent_mean,oracle_gap_percent_std,online_recovery_mean,online_recovery_std,p2prime_gap_percent_mean,p2prime_gap_percent_std,pi_bad_observed_mean,pi_bad_observed_std,lag1_autocorr_mean,lag1_autocorr_std
device_0,0.0,1.1,0.15,drop,8.207631503936337,0.0247658554430291,15.11875199850954,0.24044449675191343,23.32638350244588,0.26521035219494565,0.9704615086897206,0.0018704284214835821,0.03750654194886663,0.002989250819269646,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.1,0.15,late,5.123905152313563,0.27337267283093575,11.517203877213017,0.07893637270230541,16.641109029526582,0.19443630012863156,0.9198361536398549,0.005331521374983293,0.19998200231962748,0.0028895637498804225,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.2,0.1,drop,6.993091635360031,0.46384760363681904,15.26008001242389,0.40597573097644246,22.253171647783923,0.05787187266037752,0.9887019935850463,0.0008045247877359744,0.02279245983971828,0.0011425259647310582,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.2,0.1,late,3.891110588219939,0.10998150078357187,11.685029206540179,0.15565121753230313,15.576139794760115,0.045669716748731715,0.9489219875895685,0.002762251902045635,0.0659726219377128,0.0020890148944542946,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.2,0.15,drop,11.753086070494422,0.44384558954338943,26.797540953219766,0.35775798267485315,38.55062702371419,0.08608760686854128,0.958507552062378,0.002688183369798994,0.0763108760622277,0.005504628439827502,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.2,0.15,late,6.928673375119962,0.1561278487953392,19.476423657677564,0.21824114165835248,26.405097032797528,0.0621132928630155,0.9158764965291026,0.0008410498361374889,0.28049022747503927,0.003255816467041933,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.35,0.05,drop,4.216577026684653,0.4031415275502735,12.780091543244925,0.0721508090526795,16.99666856992958,0.3309907184975927,0.9865936091780891,6.923271086170728e-05,0.008470311857563443,0.0011236724914729746,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.35,0.05,late,1.8177034186245593,0.08974460711145173,9.539936608785759,0.1314811532222279,11.35764002741032,0.22122576033368152,0.9570200233031181,0.0017425002355571785,0.0083103789148531,0.0012811407963621096,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.35,0.1,drop,9.181941231515218,0.017600034885836356,28.076019505219545,0.25831153027470977,37.257960736734766,0.2759115651605505,0.9689559743398042,0.021060722152341466,0.040335711149508985,0.0005738424540281032,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.35,0.1,late,3.9847207455996596,0.15681528012378226,20.290292339098713,0.0030358966378497,24.275013084698372,0.15377938348593556,0.9839139713009402,0.0005245300513445052,0.1669953851073809,0.0035638517484052334,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.35,0.15,drop,13.73890594459611,0.6148538308203506,37.09970236293614,0.6260457211811816,50.838608307532255,0.011191890360833552,0.9904596776984834,0.00016538477285964233,3.254074745942105,0.1787644026316065,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.35,0.15,late,5.954724840402518,0.28553261759451853,26.213143061345626,0.3092451428049861,32.167867901748146,0.023712525210469765,0.9880002210548475,0.00020024281695739206,2.377746917532444,0.0984293619373017,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.5,0.01,drop,0.6969867420195668,0.022382692012727603,3.4197603911397385,0.298341718073057,4.116747133159305,0.32072441008578473,0.9731899235836703,0.007553939398893072,1.4510834705018672e-06,2.0521419241191596e-06,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.5,0.01,late,0.22396820738952614,0.09045737377277574,2.283013504768941,0.10754147533935106,2.506981712158467,0.19799884911212706,0.9575192638039184,0.006766982078353455,0.0003245164070523254,0.00033916397952162263,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.5,0.05,drop,4.5806692495052115,0.022904281069571066,19.131399150768306,0.20592241329153463,23.712068400273516,0.2288266943611057,0.9692658255666151,0.008264754085017983,0.7932721741804754,0.18711693612142907,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.5,0.05,late,1.4693577889462637,0.005966859406736933,12.398999232128148,0.15745322666554987,13.86835702107441,0.15148636725881293,0.9765455812480499,0.00894234674027392,0.5147558560188745,0.1211082285758144,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.5,0.1,drop,9.51752594645287,0.21315828922858443,25.13391549189337,0.4076945640599019,34.65144143834624,0.19453627483131622,0.9847995622550707,0.0004095418372185369,0.8333792039890523,0.18594544078664493,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.5,0.1,late,2.7524838799283597,0.1371380374434093,15.830034617928664,0.27192798230788034,18.582518497857023,0.13478994486447293,0.9847997351123687,0.0016645957051593303,0.6150174573976566,0.12887428079797708,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.5,0.15,drop,14.827241806856488,0.3231374466885605,30.511720199634254,0.16737292545203517,45.338962006490746,0.15576452123652723,0.9882261546804911,0.00040804314775725096,0.9235005883058895,0.17877551726987967,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,1.5,0.15,late,4.417666712594203,0.4736346722107947,18.36527875963393,0.5781826056476332,22.782945472228135,0.10454793343684206,0.9791674766557235,0.00023018768888992988,0.9360682064857491,0.11058853687394339,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,2.0,0.01,drop,1.0221423161691907,0.0009494572813861136,1.9108670492777575,0.013782661341759633,2.933009365446948,0.012833204060373755,0.9397278336028547,0.002071514156258969,1.7911221696213996e-06,2.5330292641457066e-06,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,2.0,0.01,late,0.10077882313100783,0.024827653066547876,0.8167236950357086,0.02447089057938218,0.9175025181667164,0.0003567624871656755,,,0.00017411365506100448,0.0002462338923816234,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,2.0,0.05,drop,4.856338145959155,0.23036759749176158,9.208569542148828,0.21024282957506207,14.064907688107983,0.020124767916700134,0.9793594099685851,0.00270947582250616,0.013236196083934667,0.0017895460554177758,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,2.0,0.05,late,0.5886961716621115,0.06860679608650025,3.6782714480868455,0.06138206061325389,4.266967619748957,0.007224735473246045,0.9732102265555935,0.0021631618132536825,0.010117764017882315,0.0031481558161548023,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,2.0,0.1,drop,9.88492159808466,0.37558343113157655,17.65261193331135,0.35586770866877254,27.53753353139601,0.01971572246280027,0.9845272938147147,0.0018066457627958093,0.0630213324975427,0.0010581388821004033,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,2.0,0.1,late,1.152881682710666,0.17850312067534038,6.878723129519381,0.153141600361546,8.031604812230047,0.02536152031379368,0.9824304014750849,0.0026078587856446754,0.08772418492761976,0.0010331813580917956,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,2.0,0.15,drop,15.012436823941163,0.020556499376421445,25.407938756480206,0.058670480387949454,40.42037558042137,0.03811398101152926,0.9850556113666773,0.000983236953674112,0.5459554596609759,0.029841212481420194,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.0,2.0,0.15,late,1.786679008359211,0.07115699637492462,9.083406722754415,0.013325594270782636,10.870085731113626,0.05783140210414387,0.9861270153698387,0.005068988646250634,0.6999193151398517,0.029862637917213154,0.20425,0.00021213203435597035,-0.0027818320172482702,0.003385280159842773
device_0,0.75,1.1,0.15,drop,8.21991840115168,0.25156419337049496,14.313502607613955,0.18072042103910918,22.533421008765636,0.07084377233138835,0.7711494923787096,0.0005202757510357742,1.8545627398367523,0.08210782191983793,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.1,0.15,late,5.190608926106091,0.33425809398716905,10.860136582548241,0.3661096762696281,16.05074550865433,0.03185158228245778,0.7114791855207463,0.009423727252978905,1.518467829913461,0.01837895016898818,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.2,0.1,drop,6.734762481087765,0.18907794261807773,14.516861979448988,0.052279522880213314,21.251624460536753,0.24135746549828851,0.827812572389701,0.004042464557052951,0.11516843524406356,8.81496017337977e-05,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.2,0.1,late,3.730337215868562,0.15331794808268243,11.10993192186508,0.02258952304128693,14.84026913773364,0.1759074711239706,0.7367759365856275,0.002034172008793484,0.39453647400865,0.02497453950262936,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.2,0.15,drop,11.946046966994682,0.35282508528254036,25.66272898511008,0.10576345658754085,37.608775952104764,0.24706162869500012,0.7366992234808218,0.0011926336507516006,8.356140002221059,0.1046062343749553,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.2,0.15,late,6.765491985316487,0.2683133847511319,18.903788756044587,0.09141376149141237,25.669280741361078,0.17689962325971956,0.6733032744373124,0.005150629480250383,6.054732047635193,0.04898274788017644,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.35,0.05,drop,4.149847197799479,0.22824571806293514,12.548553689997519,0.5571671732077755,16.698400887797,0.32892145514484156,0.9352112687367071,0.004942720965630793,0.022686088852337756,0.004983927086931361,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.35,0.05,late,1.755577776907316,0.17889425552014368,9.394291133506457,0.40651055132739267,11.149868910413772,0.22761629580724707,0.8575902581777117,0.007884083908609245,0.0569619248189774,0.003955270671786479,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.35,0.1,drop,9.304026958053377,0.18924356980303,27.348363530925823,0.14610172051734857,36.65239048897921,0.33534529032037985,0.7859543208808091,0.010524412081380708,3.9166947972896233,0.18514593512505365,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.35,0.1,late,4.202868738584161,0.08466178088874786,19.679388008731173,0.29634997416256403,23.88225674731533,0.211688193273814,0.9669854314701709,0.0007538537358416794,3.011880506409892,0.1432914086936868,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.35,0.15,drop,14.261042048053568,0.15511809454136066,36.65052092475226,0.042383094897055835,50.911562972805825,0.11273499964430984,0.7573380563400465,0.0024437030062872786,10.528228318447589,0.10824438624502403,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.35,0.15,late,6.327263627695091,0.42780049839306,25.893033153024966,0.35382357845618206,32.22029678072006,0.07397691993688711,0.9624077120447846,0.005134507518746571,7.364319569277658,0.046840242187251434,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.5,0.01,drop,0.8634231690896654,0.018252853755834846,3.246128261307068,0.049737646849354736,4.109551430396734,0.03148479309351946,0.9697086549248688,0.014243813682242683,0.001092098935924402,0.00043765486818530153,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.5,0.01,late,0.22522030832644652,0.04505259127619222,2.280011949837574,0.023086090274891707,2.5052322581640207,0.021966501001300497,0.9489504595429099,0.008076622296240381,0.0005021129048891414,0.0001324976583966455,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.5,0.05,drop,4.673749420633271,0.14349167036285493,19.594074268203883,0.35319862371632804,24.267823688837154,0.20970695335346964,0.8231246922079158,0.011326242376963435,2.0710745792338034,0.249075157094697,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.5,0.05,late,1.1834916992767919,0.02808694143680495,13.063225927092821,0.16612684927062765,14.246717626369614,0.13803990783382647,0.9426882829236929,0.000464371148577423,1.3498950536907093,0.16046361562046738,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.5,0.1,drop,10.113534900673846,0.01035587105684439,24.95550519818312,0.2326933537952154,35.06904009885696,0.22233748273836976,0.9147052235479645,0.08423904919207267,2.2715152791651856,0.2571347888211753,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.5,0.1,late,2.8567643012432997,0.15006795260508782,16.092416666909024,0.28663551327149583,18.949180968152323,0.1365675606664107,0.9779572794260554,0.0037485482000946414,1.588714244908263,0.176566209251218,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.5,0.15,drop,14.938748301700153,0.3200469711154424,30.680671161566472,0.5555604901960239,45.619419463266624,0.23551351908057647,0.8868230524795266,0.11417225800004648,4.186920005422589,0.2396753500405329,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,1.5,0.15,late,4.367594183625526,0.08944740284581962,18.784593231466182,0.2154587468197155,23.15218741509171,0.12601134397389807,0.9676399204118725,0.000829932221313064,2.4092812165747004,0.28818277537779136,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,2.0,0.01,drop,0.95685947543341,0.09342073394124112,1.9533844917382799,0.10090470055723817,2.9102439671716898,0.007483966615996727,0.9323573593205762,0.010176264296209277,0.0013552490356144712,0.0005444510090487797,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,2.0,0.01,late,0.08767129845457486,0.005298138131803868,0.8285956137367432,0.0022335831624073206,0.9162669121913181,0.0030645549693965476,,,0.0009353786343050566,0.00010511426216604339,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,2.0,0.05,drop,5.129336812925592,0.08056208737662424,8.853435135709166,0.1206515126287788,13.982771948634758,0.04008942525215457,0.9685547396481179,0.002886772097957822,0.041347635701534775,0.00774985832075575,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,2.0,0.05,late,0.5403441030697664,0.040240348928683015,3.718207579755904,0.030541735520604674,4.258551682825671,0.009698613408078618,0.9631480905032987,0.003205498639389259,0.04444532390602848,0.002318946168510198,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,2.0,0.1,drop,10.172351489763006,0.5533341664221486,17.2113993697998,0.4831677706397964,27.383750859562802,0.0701663957823485,0.9652938754309642,0.0014442856005592844,0.5164528466992522,0.00129712718727245,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,2.0,0.1,late,1.122936545275162,0.0597118715665636,6.869907557760502,0.0367622029608375,7.992844103035663,0.02294966860572641,0.9687891497781216,0.0016848544919663747,0.7720342705408594,0.011576496192475921,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,2.0,0.15,drop,15.1955013714928,0.047413900959443665,25.049751144859314,0.017072482832040645,40.24525251635211,0.06448638379148117,0.9515916375845137,0.0027909120067490033,7.006945997360882,0.06029569938348369,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.75,2.0,0.15,late,1.7281853117557968,0.046010409023504464,9.081910612658504,0.08510457780081429,10.810095924414298,0.03909416877731266,0.9195901987615076,0.011525858546085607,3.512886541753283,0.010955278037967066,0.2061,0.0032526911934581135,0.7451979675603757,0.01057405633708579
device_0,0.975,1.1,0.15,drop,8.165738594745703,0.2889238601225639,14.99055817899223,0.932058588174984,23.156296773737935,1.2209824482975482,0.6303570837428163,0.11881049892201219,3.970063437594747,1.0690195520741708,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.1,0.15,late,5.092568418421081,0.3078313271041119,11.332136048634442,0.5015255564290733,16.424704467055523,0.8093568835331851,0.6019229325471885,0.10651786231650073,2.8790837954792927,0.700707883881246,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.2,0.1,drop,7.1262180249339035,0.22418492058022477,14.902018843569486,0.6219983423588061,22.02823686850339,0.8461832629390349,0.5939059824902284,0.19220031793293915,0.6922410584777628,0.7371056885422224,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.2,0.1,late,3.9380023818184964,0.3380801464323486,11.447905040891175,0.2435621729143242,15.385907422709675,0.5816423193466741,0.5287045646331084,0.17806017690935813,0.9946277512892094,0.521696034708071,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.2,0.15,drop,12.393399548476426,0.055416491674631765,25.87971048144948,1.0335153735392233,38.27311002992591,1.0889318652138549,0.5455563930639458,0.1503327910149514,10.537100651560005,0.928935745999213,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.2,0.15,late,6.715566304325723,0.02691686555983304,19.43226810416678,0.7182494327268074,26.1478344084925,0.7451662982866395,0.6096863197330518,0.018718049693109095,7.539898119269803,0.6293632575614164,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.35,0.05,drop,4.454455959087543,0.06652796083759067,12.551395787245827,0.2015400716946452,17.00585174633337,0.26806803253223804,0.6912955489394683,0.21250356326048384,0.032747336165400945,0.0016497223620464425,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.35,0.05,late,2.1414098923731872,0.2345336817421571,9.23002034797549,0.045107512543955335,11.371430240348676,0.189426169198201,0.6259592799408256,0.21481616591514932,0.08410699035492919,0.011986549121128478,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.35,0.1,drop,9.67529121678786,0.12132661172564244,27.34799761629296,0.5899055626935632,37.02328883308082,0.7112321744192057,0.6014420513792573,0.1817102595310603,5.632952371653413,0.9121496532766291,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.35,0.1,late,3.9421594544379093,0.16314471330437197,20.24305525523709,0.2871845175708812,24.185214709674998,0.4503292308752488,0.6892002450572159,0.03093698100558014,4.176455358471047,0.6157102752643555,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.35,0.15,drop,14.283766506591617,0.18817535785518158,36.95641079371118,0.11940441894664604,51.24017730030279,0.06877093890853805,0.599006550787597,0.17652195801188034,12.662832717734585,0.1285194375859697,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.35,0.15,late,6.540911346541391,0.076639166171097,25.972644182095568,0.16803413877731532,32.51355552863696,0.09139497260622052,0.7046897234125695,0.0292707734339537,8.68686784694281,0.1014449722275563,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.5,0.01,drop,0.866673103980403,0.10077589772188741,3.604801668152942,0.04378896226989222,4.471474772133345,0.1445648599917793,0.753700100430696,0.006375440321831788,0.0013888425135708598,0.00029249584884243393,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.5,0.01,late,0.24624320799424654,0.02609442274808753,2.4782515923475703,0.10889105129262516,2.724494800341817,0.0827966285445374,0.6569629965356882,0.02091996062672878,0.0010825928178774375,0.0004533373669531532,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.5,0.05,drop,4.914548894822852,0.2301424021260802,19.171953812961995,0.7681136976238021,24.086502707784845,0.5379712954977235,0.6708889068896311,0.22721422469239094,2.57213430523654,0.269539406404054,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.5,0.05,late,1.4824284777552073,0.05336194989579286,12.645661027370373,0.5026508996546775,14.12808950512558,0.4492889497588834,0.7784182720811887,0.003999490010170572,1.7190764767522677,0.14526755185994694,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.5,0.1,drop,10.06911848996172,0.28940376708373794,24.923435358849403,0.5885133038735415,34.99255384881113,0.299109536789803,0.8738398966299148,0.030668102274578203,2.9028554449665354,0.21672861160193757,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.5,0.1,late,2.7623421555780574,0.08324872158098172,16.03522943964942,0.5160607526274635,18.797571595227474,0.43281203104648314,0.963396891650866,0.0171040406841097,1.9760817827445927,0.18677351823315363,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
device_0,0.975,1.5,0.15,drop,15.328503166490506,0.3398323081760643,30.326105654273945,0.27262807000329636,45.65460882076445,0.06720423817276291,0.8159102134272342,0.017310283983066575,5.993323827622241,0.4014618609970961,0.2037,0.006363961030678933,0.9775146882274242,0.0020934475794440253
